stem,pre_med,pre_n,C1_e1_med,C1_e1_n,C1_e2_med,C1_e2_n,C1_e5_med,C1_e5_n,C1_e10_med,C1_e10_n,C1_e20_med,C1_e20_n,C2_e1_med,C2_e1_n,C2_e2_med,C2_e2_n,C2_e5_med,C2_e5_n,C2_e10_med,C2_e10_n,C2_e20_med,C2_e20_n
ank_0_10,3.5727471516299905,53,2.5625895640232548,59,1.8514275527391504,59,2.8610649907958545,70,2.979346232325484,49,2.196531368954664,59,1.8065910158863192,92,1.731007505223702,80,1.8545786552124457,80,1.8634017525717743,65,1.0149354295487538,65
ank_0_16,1.7794117572928982,77,0.9885094619761863,98,0.600022486963489,113,0.5061017612657925,74,0.615318246505106,95,1.1340109412578787,92,0.6590863202446343,102,0.5440457502531317,104,0.5584731388102689,122,0.5709468713156257,129,0.47252132221180887,104
ank_0_30,3.446224904304089,34,4.8330163779322675,28,3.0015507453871737,24,4.293053746812804,30,3.510162741844452,35,3.6387236772436746,33,2.2691383061041788,25,2.2643520953738245,26,2.7876870503606153,20,1.8174713306817276,24,3.3332707388128595,24
ank_0_41,2.1414429988142,32,1.7437516499564645,40,1.356611752741859,53,1.584667221073778,45,1.1063073228494686,42,0.8275113212231205,48,1.266640780182671,50,0.8023949325810209,43,0.838143917357687,58,0.9445878236021761,48,0.852308599360555,52
ank_10_1,1.4076327083073523,74,1.0183324970333119,69,1.1513885727195192,83,0.926330236576449,93,1.3401664184461377,102,1.9580838349179766,77,0.6091551622261523,109,0.8602955368581214,156,0.5761355241757762,131,0.5968465515597096,152,0.5526770785171392,147
ank_11_14,1.8192047515453464,53,2.016756947181288,66,1.757937508004309,94,1.5791342269272832,81,1.4688318657406239,66,2.345440533670546,68,1.093941713540627,103,1.2121763179625396,107,0.4969769023937975,95,0.45037195140794506,81,0.7247096211311514,108
ank_12_21,3.6687100519133344,55,4.060319031431581,34,3.5427038159890953,40,2.9149549891992312,49,4.317936285742012,45,3.724547833088947,43,3.179103722236986,67,3.0036786917911695,71,2.6053231837325432,48,2.8301837989018597,43,3.397959734278238,51
ank_12_28,4.148737253943167,29,2.5475255940920594,33,2.9611989846017184,35,4.124924640642867,31,3.6675565415988807,22,4.489326819252064,28,2.760487387819432,40,1.515151729133818,34,3.843065894856717,28,2.2978124144362835,18,3.848841754794837,27
ank_12_35,1.8827222694319123,56,1.7159993224028964,68,1.1736188077447522,82,0.5601764967613845,106,0.5043684927602129,136,0.6101228730242881,142,0.6279382463660556,125,0.5089611277143953,222,0.4015571899250938,212,0.404621876165815,210,0.3894968768595762,238
ank_13_12,1.8296589099999625,83,1.5009628165984434,96,1.2869255259934613,108,1.0789477923412676,106,1.158418364611013,96,1.5452335295558728,93,0.663397335639858,103,0.7485699421276629,114,0.7787695549560065,120,0.7011307038360928,121,0.6454909229298132,113
ank_13_17,2.40932319308119,48,2.892272286191541,52,1.5537243302840587,49,1.7626867641169919,52,1.756715714197668,51,3.8088046476721193,53,1.4300820248884327,67,1.5987409256699454,72,1.0167446211514874,71,1.114942463075905,73,0.964220494130793,62
ank_13_21,2.361124845412062,56,2.6127131868839357,55,1.90427399308166,49,2.14872736944698,66,3.2730884223076298,51,2.788656835636773,57,2.370415877110546,67,2.515915280810269,72,2.9275372649947875,67,2.8621642646956182,57,2.295003023831257,51
ank_13_29,2.4747231628745565,44,2.437453446598969,47,2.391968469481078,31,2.4582634411839144,43,3.5171420091827703,39,3.0655534298904565,43,2.12077569860846,64,1.61504695631857,60,0.9779518277977027,51,1.7279564257212088,47,1.2977392237636407,42
ank_13_34,2.6576811136475333,21,4.042779518587292,23,3.1329326878630024,24,3.07988046576079,21,4.799922508012946,19,4.405139551795694,28,2.952091821762272,27,3.018194590551918,38,2.7188844351164887,30,2.7405437839444344,33,2.011038390603862,27
ank_13_6,1.8831103007537435,72,1.2734977396605383,75,0.9667041056311905,117,0.6452509283934212,109,0.7390662865786308,112,1.19664286843838,94,0.5611659360825108,117,0.583489311105893,153,0.5284031967783047,161,0.5426090768998911,153,0.549861279880622,160
ank_14_33,3.023045039824054,24,1.7777645091281578,32,1.2317946578484582,37,0.8480252122314669,42,1.1885067295092446,43,0.6705769615743894,47,1.0648089731248271,49,0.9489416150216691,41,0.8448909838490573,60,0.8891991100017739,56,0.8383305996689803,57
ank_14_9,2.641791696683742,60,1.5547473504725324,63,1.4892808561958661,61,1.2700133457078593,81,1.5476881582089284,64,2.381286714875563,75,1.5201538844882316,81,1.0328635589697797,87,0.9595078383654102,91,1.1897222261314824,107,0.6485802274215127,80
ank_15_22,3.388774697360242,47,3.0891792072920423,57,2.584090301777441,50,2.239070389949465,51,3.053999657429149,75,2.888374993849663,71,2.1532740563109094,66,2.045929791007981,67,1.737032626212228,78,1.4792805252290502,68,1.437723933263442,65
ank_15_41,3.6136167013673552,30,2.628619951855643,32,2.9305007002548713,41,1.6910246621314258,40,3.3318188110436138,27,4.159758916152636,27,2.511186990623448,51,2.751152972448371,46,2.0286234126190252,59,2.615848913950975,64,2.158739563584745,50
ank_15_6,2.5788618794043954,58,1.3683014970083907,62,0.9283051974116324,87,0.8983366963920503,104,1.1574385508824951,87,1.2883585294182867,89,0.5127135715365928,155,0.5235872664663374,169,0.47162315541646266,179,0.4022022860907368,155,0.4067527448949116,149
ank_16_36,3.8246085668434584,11,5.053595251214598,20,4.309387548571467,10,5.13160592802451,23,4.493034756006921,28,4.494292569924396,14,3.5100007186236075,22,2.615103869440886,20,3.021271237533113,16,2.184621947313981,23,4.4455966582722155,21
ank_16_9,2.458009300731516,38,1.8435055392256565,78,1.706250801709872,68,1.4537437431382587,75,1.588489242618346,70,1.4703328021494089,69,0.8096060782201586,102,0.8614224048104558,105,0.6972844406451223,104,0.7139863382881516,99,0.5965021210382703,107
ank_17_17,3.2964406701328497,62,2.9384047183941613,70,2.077852754315777,42,3.312327776244111,53,3.6350284600716645,48,4.080957798949764,59,2.475272760515855,60,2.3195853492332152,57,2.4945254534323777,43,1.9609364798980682,50,2.4565176045191808,47
ank_17_19,2.732016847994027,55,2.7928002154719755,50,2.609058641249477,56,2.4507834425009767,82,2.1502815939738986,65,2.8755574512980004,65,3.00033424139108,74,2.3150912189668107,70,2.104633767456713,74,1.5531010663036802,90,1.5540510179125655,75
ank_17_22,4.044052899922436,41,2.0611266603199003,49,2.4116489384647664,59,2.712587732853308,47,3.3909518254377735,48,3.5465699116478566,57,2.2005745901169087,61,2.5314873383536436,49,2.5247667632860535,52,2.818681317140576,57,2.8998233821508883,44
ank_17_31,2.5965451202702488,61,1.6917194401210942,72,1.1648003670260838,77,0.6997628208230091,122,0.688590054809118,109,0.6077804664519635,120,0.7454074761852304,107,0.501012104544603,146,0.4356245509488239,162,0.45827716440426003,146,0.463506591990411,174
ank_17_32,3.0338922631839655,41,2.9259494527917735,41,2.0781379775256177,42,2.763779946217884,51,1.5075000010600552,36,2.829996212117352,43,1.8800984451533025,44,1.4735713013918472,58,1.8860473576587067,38,1.7746537060520877,47,1.6304446953954774,62
ank_18_16,3.662567148824515,46,2.169558327951912,50,2.557882792721928,49,2.476103405290331,74,2.8585986404224997,52,2.1110728937061576,55,1.7269805512569385,66,2.2002128680550275,72,1.380195039601329,74,1.8026596099807288,78,1.6438518935143716,75
ank_18_27,2.731841450892978,37,3.111336297438528,57,3.021231485222256,45,2.0584623268012634,59,3.1403375516902585,46,3.1839279802188694,53,2.16841088688506,68,2.185508574360407,66,2.1168555484392773,54,2.543956777586321,43,2.0615035801848896,56
ank_18_29,2.108913983042069,56,1.464205623422446,65,1.0940246127650113,74,0.8232220900300604,100,0.8597999435866504,75,1.0284479591902742,73,0.792113733632267,67,0.9768387313339483,88,0.8036347374329498,94,0.7018576983443294,91,0.6444990082902755,90
ank_18_37,1.3963166307531871,33,1.244044619172307,46,0.7812582660329771,51,0.9241015058148524,51,0.78645197729768,55,0.7924796155009866,56,0.7665112266239668,55,0.7596026024093652,62,0.7778482440050605,70,0.7299259443782242,67,0.6414900432654511,61
ank_18_39,1.7130964755298188,56,0.7385487415160241,66,0.5317023176274193,89,0.47612184177179195,59,0.6233865907381821,54,0.7232365564851931,55,0.46515157521937567,78,0.3964214681352746,68,0.3677839407776056,80,0.3046816436932171,71,0.37145176289437043,94
ank_18_7,2.5973855611610084,54,2.3347421221727007,82,1.347803608787251,75,1.2710419145166862,107,1.07255977891761,75,1.0469852575539567,84,1.3439603929214665,109,0.7965240048035778,103,0.9749277837709787,108,0.8466537684185697,98,1.0566053411372716,97
ank_19_15,2.79484842385336,51,1.5654591484296505,55,1.6892775440077903,81,1.2753621002923525,78,1.744835165409875,83,1.3576652853808646,69,1.0642256184493082,85,1.3429222691520053,94,1.3526444857262234,98,1.028535025086145,90,0.6917285183317134,87
ank_19_33,4.31472540924909,19,3.372262510328068,25,3.2462754995753595,21,3.6154898327174476,27,4.149227877530963,23,3.575423940018337,29,3.464274059646632,23,3.5594800677068665,22,2.6327637364642693,27,3.4685505196912305,23,3.0054539192172838,22
ank_19_6,2.617815815166602,60,2.3083735854712186,55,2.630554215976076,57,1.9420489302685766,76,2.7486849590033797,67,2.5449363490947214,66,1.8188926771331146,75,2.4068586265039285,68,2.0959331340323653,64,1.5140739193049408,74,1.809936806564279,67
ank_19_9,2.625465191897572,32,2.99314279813248,56,2.0407348586041283,47,1.384723187199566,56,1.2422342386827536,73,1.8279226236338966,61,2.472224705450174,76,2.322083061713374,70,0.964315362676877,85,1.3926518719598997,61,1.218575961849944,70
ank_1_34,3.473055132023447,26,2.761640475080534,42,2.1078991677281147,38,1.8039537943270083,45,1.8064177990572217,43,1.608197902523688,47,1.4978916712389159,59,1.098841117796373,60,1.539606070711952,63,1.4078558103681829,60,1.1522021121657353,67
ank_20_10,2.3238447686911368,42,1.9916223722278679,63,1.4437742284723951,75,0.7027352824894907,100,0.5872705882306557,102,0.6243450802446036,113,0.8619573809207295,99,0.49657881648838237,142,0.4815187152503883,169,0.5064214941746277,159,0.3896793071403552,159
ank_20_19,3.339545118262882,43,2.721489332102622,37,2.775885814524268,39,3.595919799901801,49,3.464749703965955,64,3.975234615271571,24,2.3231518503752904,50,2.6524732404746216,49,2.326725862734614,50,2.8992718095061822,53,2.6371502190734697,54
ank_20_37,1.0153386685246166,105,0.7314159881812523,107,0.5968340918983189,116,0.586938813196589,144,0.5910805440392533,148,0.5664083325198206,139,0.7225188713102156,151,0.5715248537344814,196,0.5223929625285593,185,0.5698328795234691,207,0.5427697294529179,212
ank_20_6,2.953198259465808,53,2.215333210471824,53,1.5003087185572475,55,1.6878083267648547,62,3.4437869745732543,55,3.681078444880024,50,1.8758772748547987,78,2.2820053420602777,74,2.0859361199107718,93,2.627174612765044,75,2.13764460759085,72
ank_22_10,1.9163009480003148,79,1.4056754038074153,81,1.1815417282654979,111,1.201018103133948,112,0.8927518069797532,104,1.1274695416940932,108,0.9670263375622455,125,0.6133823311467836,139,0.4976374049652533,126,0.6854555723841718,171,0.5543922085525592,136
ank_22_16,3.183092814088014,51,3.3142320176311175,39,2.6124854560206963,40,2.745125431904961,53,3.8917381545187864,37,2.949409793774824,57,2.9200709096698594,53,2.205943056906312,58,1.8646305054706531,45,2.2266524905985348,58,1.7442415879349185,50
ank_22_37,1.8768363310702,39,1.7530054549488838,52,1.847032126004852,49,1.1789157993776747,53,1.287961524255822,55,1.2644815904971183,59,1.0682273957787136,69,0.6615309994319878,55,0.752716255335777,61,0.7968273673519707,65,0.8014649420011895,83
ank_23_14,2.28414728193807,66,1.9328196896894676,77,1.820249528825224,59,1.9142062969235178,68,2.1665495741566034,59,2.935885360949574,52,2.028994240788283,77,2.111737862330127,84,1.230767654227771,67,1.4968818797986674,57,1.3776934986856795,54
