stem,pretrained_rgb_med,pretrained_rgb_n,pretrained_bt601_med,pretrained_bt601_n,C1_rgb_med,C1_rgb_n,C1_bt601_med,C1_bt601_n,C2_rgb_med,C2_rgb_n,C2_bt601_med,C2_bt601_n,C3_rgb_med,C3_rgb_n,C3_bt601_med,C3_bt601_n
ank_18_37,1.6995580726375499,32,0.9935247754993096,41,0.8636600887457219,62,0.7260263266222927,63,0.6725306315338062,64,0.6035277163105596,65,0.782491160774829,62,0.7389215149037328,65
ank_20_37,0.9011752692783805,92,0.9743362782660465,92,0.5343578046930073,119,0.4824846896429317,157,0.5475558470464913,213,0.4564736604571129,202,0.5819954308366819,180,0.5085158526198295,189
ank_23_28,1.407495268415841,70,1.0870144762654983,71,0.6929156609503313,98,0.6513438068336648,118,0.45560655866680994,143,0.4679316969351478,170,0.47305028219596135,124,0.42424679736407667,144
ank_25_37,3.8802456868503183,33,2.726322503977101,46,2.3135610514084237,59,1.377128942173143,71,0.97468901836114,67,0.8747071843321476,68,0.846693807085253,52,0.898513603609089,62
ank_26_22,3.680347568346189,26,3.572785272045543,48,2.1442768386819786,42,1.4861520527070198,48,0.9209733067789017,51,1.2331701058368265,51,1.1259066128802522,46,1.0423539955195944,59
ank_26_29,1.0556346476974041,84,1.0577962680535438,100,0.7086725995793388,182,0.6922416325316437,203,0.758008547488652,250,0.6483036308932494,274,0.7036837920162758,217,0.6498643571132161,265
ank_28_37,1.5675777382226839,73,1.0258622847082017,107,0.6647645795904853,176,0.6141031247006132,179,0.6108063603147371,196,0.5225340277122736,244,0.6345269475133084,183,0.5675658969104217,249
ank_30_30,0.9953630836971084,89,0.9962788219235043,93,0.5983878544043945,127,0.667915667172226,134,0.43033309789081015,191,0.5524135802360817,236,0.49650132507808703,167,0.5425676857375525,197
ank_31_32,1.251822594055998,115,1.0439338017838093,133,0.5032284054758528,183,0.5763627077981719,173,0.4878750581713788,286,0.4577175771674952,280,0.47576862574607165,243,0.48454279122346866,233
ank_32_37,1.2820196612742478,107,1.01963923188623,118,0.5956602458956166,217,0.5880664043298937,285,0.541757022848466,305,0.528867042555768,365,0.5901902501720502,273,0.5525988380609712,294
ank_33_25,0.8210968745900586,107,0.7504138045015556,164,0.6232601316590972,199,0.5912593351140711,264,0.537103263244593,265,0.4993429816059699,285,0.5351086637830664,268,0.5003436945048307,307
ank_33_34,0.9989445423542931,154,0.9485910588710063,154,0.5239831920790017,315,0.6109312492073948,316,0.45959129928507825,478,0.4822868878173277,448,0.4762384474377447,376,0.5400743114041863,373
ank_33_36,1.0967014910697956,86,0.947824416976685,92,0.5530562881706933,169,0.5530041130052523,170,0.4652023651432483,288,0.5385192419715628,249,0.50583325430669,224,0.5474943403413057,223
ank_34_21,1.740099889373619,46,1.5999806698580301,66,0.6505497558795713,44,0.9526482935023581,88,0.5673138114677272,100,0.6479868124765361,105,0.7388207804142609,77,0.5738655234993936,88
ank_34_30,0.9174217463314301,123,1.1528174484433862,154,0.6107315578681136,191,0.6719547337369237,195,0.533274022975536,309,0.561421035911355,365,0.6129577442531715,269,0.6368321218040169,272
ank_35_28,1.0250711393175598,163,1.0903080404271184,182,0.7233734629756062,258,0.6335251450957898,275,0.4754253823492798,377,0.45630151859520063,446,0.5172450597552328,327,0.49324389936899693,419
ank_38_22,1.0154998805459752,73,0.7772070480486566,72,0.5364096768012083,146,0.502451622146807,184,0.48507265506514763,212,0.48564172733651945,234,0.5302228794144734,188,0.47190389890974144,230
ank_38_24,2.477051060929092,25,1.835804373873946,40,1.6099482940360927,53,1.2973677557200314,61,0.716316855163793,60,0.6446293101539992,71,0.8147707529865781,59,0.8089549240443571,79
ank_38_27,1.5644004196861085,50,2.1971514947369783,54,1.2310474173810193,74,1.200830600357904,76,0.9126581608088042,67,0.6955534289945355,78,0.7773766777688182,63,0.8183820952527661,74
ank_40_19,3.2511153066661,55,1.5984473113731463,77,0.5386943902451932,89,0.4051874532884049,108,0.5085241665886717,122,0.4970847826744049,138,0.5236552882450959,107,0.41814875712934985,114
