set,arm,stem,orb,orb_inl,akaze,mi
ank130,pretrained,ank_0_10,,,,8.06225774829855
ank130,pretrained,ank_0_16,,,,1.0
ank130,pretrained,ank_0_30,,,,1.4142135623730951
ank130,pretrained,ank_0_41,,,,2.23606797749979
ank130,pretrained,ank_10_1,1.4411110877990723,10.0,,0.0
ank130,pretrained,ank_11_14,,,,1.0
ank130,pretrained,ank_12_21,,,,8.06225774829855
ank130,pretrained,ank_12_28,,,,8.94427190999916
ank130,pretrained,ank_12_35,2.5560462474823,12.0,,1.0
ank130,pretrained,ank_13_12,,,,0.0
ank130,pretrained,ank_13_17,,,,5.656854249492381
ank130,pretrained,ank_13_21,,,,10.0
ank130,pretrained,ank_13_29,,,,5.830951894845301
ank130,pretrained,ank_13_34,,,,11.313708498984761
ank130,pretrained,ank_13_6,,,,0.0
ank130,pretrained,ank_14_33,,,,1.0
ank130,pretrained,ank_14_9,,,,1.0
ank130,pretrained,ank_15_22,,,,2.23606797749979
ank130,pretrained,ank_15_41,,,,4.242640687119285
ank130,pretrained,ank_15_6,2.7202951908111572,11.0,,1.0
ank130,pretrained,ank_16_36,,,,5.385164807134504
ank130,pretrained,ank_16_9,,,,1.0
ank130,pretrained,ank_17_17,,,,3.0
ank130,pretrained,ank_17_19,,,,9.433981132056603
ank130,pretrained,ank_17_22,,,,2.23606797749979
ank130,pretrained,ank_17_31,,,,1.0
ank130,pretrained,ank_17_32,,,,11.313708498984761
ank130,pretrained,ank_18_16,,,,0.0
ank130,pretrained,ank_18_27,,,,1.0
ank130,pretrained,ank_18_29,,,,1.4142135623730951
ank130,pretrained,ank_18_37,,,,1.0
ank130,pretrained,ank_18_39,,,,7.280109889280518
ank130,pretrained,ank_18_7,,,,1.0
ank130,pretrained,ank_19_15,,,,0.0
ank130,pretrained,ank_19_33,,,,7.280109889280518
ank130,pretrained,ank_19_6,,,,8.602325267042627
ank130,pretrained,ank_19_9,,,,1.0
ank130,pretrained,ank_1_34,,,,10.63014581273465
ank130,pretrained,ank_20_10,3.27531099319458,10.0,,1.0
ank130,pretrained,ank_20_19,,,,9.899494936611665
ank130,pretrained,ank_20_37,,,,1.0
ank130,pretrained,ank_20_6,,,,2.23606797749979
ank130,pretrained,ank_22_10,1.5839996337890625,12.0,,1.4142135623730951
ank130,pretrained,ank_22_16,,,,11.313708498984761
ank130,pretrained,ank_22_37,,,,1.0
ank130,pretrained,ank_23_14,,,,0.0
ank130,pretrained,ank_23_28,,,,1.0
ank130,pretrained,ank_24_0,,,,1.4142135623730951
ank130,pretrained,ank_24_12,,,,9.433981132056603
ank130,pretrained,ank_24_14,,,,1.0
ank130,pretrained,ank_24_3,,,,1.0
ank130,pretrained,ank_25_1,,,,1.4142135623730951
ank130,pretrained,ank_25_14,,,,8.06225774829855
ank130,pretrained,ank_25_16,,,,1.0
ank130,pretrained,ank_25_37,,,,2.23606797749979
ank130,pretrained,ank_26_21,,,,1.4142135623730951
ank130,pretrained,ank_26_22,2.109652042388916,10.0,,1.4142135623730951
ank130,pretrained,ank_26_29,2.036470890045166,17.0,,1.0
ank130,pretrained,ank_26_3,,,,0.0
ank130,pretrained,ank_26_35,,,,8.06225774829855
ank130,pretrained,ank_26_5,,,,1.4142135623730951
ank130,pretrained,ank_27_14,,,,6.324555320336759
ank130,pretrained,ank_27_40,,,,0.0
ank130,pretrained,ank_28_27,,,,2.23606797749979
ank130,pretrained,ank_28_37,,,,10.63014581273465
ank130,pretrained,ank_28_38,,,,11.313708498984761
ank130,pretrained,ank_28_9,,,,8.06225774829855
ank130,pretrained,ank_29_0,,,,0.0
ank130,pretrained,ank_29_11,,,,7.0
ank130,pretrained,ank_29_21,,,,8.246211251235321
ank130,pretrained,ank_29_24,1.7747385501861572,22.0,,2.0
ank130,pretrained,ank_29_26,,,,9.433981132056603
ank130,pretrained,ank_2_12,,,,0.0
ank130,pretrained,ank_2_23,,,,1.0
ank130,pretrained,ank_30_30,3.519009590148926,13.0,1.6768919229507446,1.0
ank130,pretrained,ank_30_7,,,,1.0
ank130,pretrained,ank_31_32,3.86392879486084,12.0,,0.0
ank130,pretrained,ank_31_7,,,,0.0
ank130,pretrained,ank_32_12,,,,2.23606797749979
ank130,pretrained,ank_32_21,,,,0.0
ank130,pretrained,ank_32_37,,,,0.0
ank130,pretrained,ank_33_25,,,,1.0
ank130,pretrained,ank_33_3,,,,1.0
ank130,pretrained,ank_33_34,125.38618469238281,10.0,,0.0
ank130,pretrained,ank_33_36,,,,0.0
ank130,pretrained,ank_34_11,,,,1.0
ank130,pretrained,ank_34_15,,,,1.0
ank130,pretrained,ank_34_21,,,,0.0
ank130,pretrained,ank_34_30,,,,0.0
ank130,pretrained,ank_35_11,,,,1.0
ank130,pretrained,ank_35_28,1.8536458015441895,30.0,2.428388833999634,0.0
ank130,pretrained,ank_35_39,,,,1.0
ank130,pretrained,ank_35_7,,,,1.4142135623730951
ank130,pretrained,ank_36_40,,,,1.0
ank130,pretrained,ank_38_19,,,,9.219544457292887
ank130,pretrained,ank_38_22,,,,1.4142135623730951
ank130,pretrained,ank_38_24,,,,0.0
ank130,pretrained,ank_38_27,,,,4.123105625617661
ank130,pretrained,ank_38_40,56.920997619628906,11.0,,10.63014581273465
ank130,pretrained,ank_38_9,,,,1.0
ank130,pretrained,ank_39_1,,,,11.313708498984761
ank130,pretrained,ank_3_13,,,,1.0
ank130,pretrained,ank_3_25,,,,9.433981132056603
ank130,pretrained,ank_3_29,,,,8.06225774829855
ank130,pretrained,ank_3_34,,,,2.0
ank130,pretrained,ank_3_39,,,,9.433981132056603
ank130,pretrained,ank_3_9,,,,11.313708498984761
ank130,pretrained,ank_40_19,,,,11.313708498984761
ank130,pretrained,ank_40_2,,,,8.602325267042627
ank130,pretrained,ank_40_40,,,,8.94427190999916
ank130,pretrained,ank_41_0,,,,7.0710678118654755
ank130,pretrained,ank_41_1,,,,11.313708498984761
ank130,pretrained,ank_41_19,,,,11.313708498984761
