stem,pretrained_med,pretrained_n,C1_med,C1_n,C2_med,C2_n,C3_med,C3_n,C4_med,C4_n,C5_med,C5_n
ank_18_37,0.9935247754993096,41,0.7260263266222927,63,0.6035277163105596,65,0.7389215149037328,65,1.1358810371474193,50,0.6203783334014585,74
ank_20_37,0.9743362782660465,92,0.4824846896429317,157,0.4564736604571129,202,0.5085158526198295,189,0.6187086702966131,156,0.48751132142054643,211
ank_23_28,1.0870144762654983,71,0.6513438068336648,118,0.4679316969351478,170,0.42424679736407667,144,0.49634494767490156,108,0.5169684222290987,168
ank_25_37,2.726322503977101,46,1.377128942173143,71,0.8747071843321476,68,0.898513603609089,62,1.358970116791683,77,1.4710338841013875,104
ank_26_22,3.572785272045543,48,1.4861520527070198,48,1.2331701058368265,51,1.0423539955195944,59,1.8361732534899478,35,1.1920634405314332,70
ank_26_29,1.0577962680535438,100,0.6922416325316437,203,0.6483036308932494,274,0.6498643571132161,265,0.9121060895256602,168,0.606579585349214,231
ank_28_37,1.0258622847082017,107,0.6141031247006132,179,0.5225340277122736,244,0.5675658969104217,249,0.5854663609087252,195,0.5597583426248195,218
ank_30_30,0.9962788219235043,93,0.667915667172226,134,0.5524135802360817,236,0.5425676857375525,197,0.7221370761564492,142,0.551569136749938,234
ank_31_32,1.0439338017838093,133,0.5763627077981719,173,0.4577175771674952,280,0.48454279122346866,233,0.6892905233921631,166,0.5027140352545754,271
ank_32_37,1.01963923188623,118,0.5880664043298937,285,0.528867042555768,365,0.5525988380609712,294,0.5747631208245707,245,0.5388133341206994,369
ank_33_25,0.7504138045015556,164,0.5912593351140711,264,0.4993429816059699,285,0.5003436945048307,307,0.5906900066340935,233,0.5018121537907988,300
ank_33_34,0.9485910588710063,154,0.6109312492073948,316,0.4822868878173277,448,0.5400743114041863,373,0.5413734586635615,277,0.5598733994742584,472
ank_33_36,0.947824416976685,92,0.5530041130052523,170,0.5385192419715628,249,0.5474943403413057,223,0.5169537083874346,191,0.48327065739337055,241
ank_34_21,1.5999806698580301,66,0.9526482935023581,88,0.6479868124765361,105,0.5738655234993936,88,0.8577365413761542,74,0.6486611133993248,107
ank_34_30,1.1528174484433862,154,0.6719547337369237,195,0.561421035911355,365,0.6368321218040169,272,0.7128179464256179,184,0.5426999122459624,329
ank_35_28,1.0903080404271184,182,0.6335251450957898,275,0.45630151859520063,446,0.49324389936899693,419,0.5864543341744607,321,0.44480900185723793,432
ank_38_22,0.7772070480486566,72,0.502451622146807,184,0.48564172733651945,234,0.47190389890974144,230,0.5477137095236426,155,0.4503764194565708,234
ank_38_24,1.835804373873946,40,1.2973677557200314,61,0.6446293101539992,71,0.8089549240443571,79,1.5131598672257323,61,0.7105298078180162,83
ank_38_27,2.1971514947369783,54,1.200830600357904,76,0.6955534289945355,78,0.8183820952527661,74,1.6638596586329781,75,1.3051021451512612,96
ank_40_19,1.5984473113731463,77,0.4051874532884049,108,0.4970847826744049,138,0.41814875712934985,114,0.4247841351470768,87,0.5567585848598348,129
