stem,C4_e1_med,C4_e1_n,C5_e1_med,C5_e1_n,C4_med,C5_med
ank_0_10,2.5329588034983987,79,2.4487960955382975,81,2.3284100902599167,2.6009815794504196
ank_0_16,0.9314333316806754,94,0.6593938114003914,125,0.938318482679527,0.5452350142154796
ank_0_30,3.9791669875482736,29,4.448685209003803,45,2.206456834859291,2.4230897661182693
ank_0_41,1.0756954819607685,37,0.9937686161149838,53,1.1426966895366892,0.8170502555593465
ank_10_1,1.370632311406077,79,0.9511222698035702,135,1.043423895193751,0.5765271170945454
ank_11_14,1.3478625400532669,62,1.8308881784029423,75,2.3495693566094493,1.3525694977706408
ank_12_21,3.417712816233306,46,3.246865227362819,72,3.034264833987457,2.276383729429628
ank_12_28,3.1417996149024914,37,2.901494030012159,47,3.299088940857165,2.279938107686914
ank_12_35,0.957393830011055,83,0.6160863038407003,138,0.7421175483203043,0.4341843107868127
ank_13_12,1.6706223302060053,89,1.1976895686129123,110,1.179414434079688,0.7031888643455684
ank_13_17,2.0189917924456453,54,1.5754076064085096,89,3.1697308061996576,1.6395294538795837
ank_13_21,3.0737799471207436,60,2.386683457676084,74,3.339271525215315,2.5295825833304275
ank_13_29,2.2580068948919,47,1.9376568340615883,62,3.3646693725864014,1.6610117306697496
ank_13_34,4.167415134906886,31,3.1008908518778338,30,3.4926674350289857,3.086456570931306
ank_13_6,1.2310882383477915,84,0.6923109478299597,104,0.8287069959431806,0.4699794931896516
ank_14_33,1.5102970995911804,46,1.0233033024831655,50,1.3139472914854884,0.8018150369469718
ank_14_9,1.571890952028593,66,1.0937450648824028,110,1.7189758403497648,1.094011342684526
ank_15_22,2.5659741238630343,48,1.7716314279400724,70,2.656767609234359,1.4749639798558054
ank_15_41,1.1057710778230307,29,1.0558974577917244,42,3.367391113680964,2.0064282626113483
ank_15_6,1.46337039693922,76,0.5887365454102005,112,1.1432930430110009,0.4942844311760007
ank_16_36,3.5636716242132973,24,3.849213562346101,37,3.1630644558570395,3.106891034848545
ank_16_9,2.2617450341394623,64,1.355021936204619,81,1.8667094954601209,0.8850374670954312
ank_17_17,2.854052386919783,52,2.6468795108105487,50,2.552467620090176,2.85433210118022
ank_17_19,2.9914926650910743,50,2.2818524298741965,56,2.5042137718209267,2.320984296811123
