stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.196531368954664,59,1.0149354295487538,65,2.3284100902599167,73,2.6009815794504196,79
ank_0_16,1.7794117572928982,77,1.1340109412578787,92,0.4725213222118088,104,0.938318482679527,83,0.5452350142154796,132
ank_0_30,3.446224904304089,34,3.638723677243674,33,3.3332707388128595,24,2.206456834859291,21,2.4230897661182693,25
ank_0_41,2.1414429988142,32,0.8275113212231205,48,0.852308599360555,52,1.1426966895366892,37,0.8170502555593465,57
ank_10_1,1.4076327083073523,74,1.9580838349179768,77,0.5526770785171392,147,1.043423895193751,84,0.5765271170945454,131
ank_11_14,1.8192047515453464,53,2.345440533670546,68,0.7247096211311514,108,2.3495693566094493,62,1.3525694977706408,109
ank_12_21,3.6687100519133344,55,3.724547833088947,43,3.397959734278238,51,3.034264833987457,48,2.276383729429628,73
ank_12_28,4.148737253943167,29,4.489326819252064,28,3.848841754794837,27,3.299088940857165,23,2.279938107686914,40
ank_12_35,1.8827222694319123,56,0.6101228730242881,142,0.3894968768595762,238,0.7421175483203043,87,0.4341843107868127,250
ank_13_12,1.8296589099999625,83,1.5452335295558728,93,0.6454909229298132,113,1.179414434079688,107,0.7031888643455684,123
ank_13_17,2.40932319308119,48,3.8088046476721193,53,0.964220494130793,62,3.1697308061996576,47,1.6395294538795837,76
ank_13_21,2.361124845412062,56,2.788656835636773,57,2.295003023831257,51,3.339271525215315,58,2.5295825833304275,81
ank_13_29,2.4747231628745565,44,3.0655534298904565,43,1.2977392237636407,42,3.3646693725864014,39,1.6610117306697496,56
ank_13_34,2.6576811136475333,21,4.405139551795694,28,2.011038390603862,27,3.4926674350289857,22,3.086456570931306,42
ank_13_6,1.8831103007537435,72,1.19664286843838,94,0.549861279880622,160,0.8287069959431806,108,0.46997949318965165,144
ank_14_33,3.023045039824054,24,0.6705769615743894,47,0.8383305996689803,57,1.3139472914854884,44,0.8018150369469718,65
ank_14_9,2.641791696683742,60,2.381286714875563,75,0.6485802274215127,80,1.7189758403497648,81,1.094011342684526,114
ank_15_22,3.388774697360242,47,2.888374993849663,71,1.437723933263442,65,2.656767609234359,58,1.4749639798558054,79
ank_15_41,3.6136167013673552,30,4.159758916152636,27,2.158739563584745,50,3.3673911136809638,34,2.0064282626113483,68
ank_15_6,2.5788618794043954,58,1.2883585294182869,89,0.4067527448949116,149,1.1432930430110007,96,0.4942844311760007,123
ank_16_36,3.8246085668434584,11,4.494292569924396,14,4.4455966582722155,21,3.1630644558570395,20,3.1068910348485446,29
ank_16_9,2.458009300731516,38,1.4703328021494089,69,0.5965021210382703,107,1.8667094954601207,66,0.8850374670954312,99
ank_17_17,3.2964406701328497,62,4.080957798949764,59,2.4565176045191808,47,2.552467620090176,54,2.85433210118022,61
ank_17_19,2.732016847994027,55,2.8755574512980004,65,1.5540510179125655,75,2.5042137718209267,71,2.320984296811123,60
ank_17_22,4.044052899922436,41,3.5465699116478566,57,2.8998233821508883,44,2.7885689208658273,57,1.6483037836967889,68
ank_17_31,2.5965451202702488,61,0.6077804664519635,120,0.463506591990411,174,0.6857268411872264,113,0.5188315897684708,185
ank_17_32,3.0338922631839655,41,2.829996212117352,43,1.6304446953954774,62,2.4132997075999807,42,0.7864024089332067,54
ank_18_16,3.662567148824515,46,2.1110728937061576,55,1.6438518935143716,75,2.9265269225351247,58,1.6890205978842936,98
ank_18_27,2.731841450892978,37,3.18392798021887,53,2.0615035801848896,56,2.1641495002441062,65,2.8562634498456263,73
ank_18_29,2.108913983042069,56,1.0284479591902742,73,0.6444990082902755,90,1.72137692421664,77,0.8222720805151268,108
ank_18_37,1.3963166307531871,33,0.7924796155009866,56,0.6414900432654511,61,1.1882077910049507,42,0.6853060695928483,76
ank_18_39,1.7130964755298188,56,0.7232365564851931,55,0.3714517628943704,94,0.5577647440013003,53,0.49124689084239925,90
ank_18_7,2.5973855611610084,54,1.0469852575539569,84,1.0566053411372716,97,1.4717950896989191,81,0.9149604216001004,114
ank_19_15,2.79484842385336,51,1.3576652853808646,69,0.6917285183317134,87,2.2459218272236035,73,0.8879017707105719,96
ank_19_33,4.31472540924909,19,3.575423940018337,29,3.005453919217284,22,4.40708762037093,20,2.8497433848778746,30
ank_19_6,2.617815815166602,60,2.5449363490947214,66,1.809936806564279,67,2.871917640679468,55,1.8038479447088245,59
ank_19_9,2.625465191897572,32,1.8279226236338968,61,1.218575961849944,70,2.3259264140256724,53,1.139362866400408,85
ank_1_34,3.473055132023447,26,1.608197902523688,47,1.152202112165735,67,1.457474498093922,41,1.5943191363413443,61
ank_20_10,2.3238447686911368,42,0.6243450802446036,113,0.3896793071403552,159,0.862631754020328,97,0.3641476955312506,150
ank_20_19,3.339545118262882,43,3.975234615271571,24,2.6371502190734697,54,2.675642917146452,54,2.717394008525763,54
ank_20_37,1.0153386685246166,105,0.5664083325198206,139,0.5427697294529179,212,0.6505948839877812,131,0.5454143851131332,215
ank_20_6,2.953198259465808,53,3.681078444880024,50,2.13764460759085,72,2.2746188899857684,65,2.2896223677753573,97
ank_22_10,1.9163009480003148,79,1.1274695416940932,108,0.5543922085525592,136,1.1290938039905807,113,0.6346681512418301,159
ank_22_16,3.183092814088014,51,2.949409793774824,57,1.7442415879349185,50,2.6677505885544432,36,1.62029688590451,72
ank_22_37,1.8768363310702,39,1.2644815904971185,59,0.8014649420011895,83,1.0331726656094746,49,0.842502744062528,65
ank_23_14,2.28414728193807,66,2.935885360949574,52,1.3776934986856797,54,1.6349420220522584,52,1.6922660225932804,68
ank_23_28,1.0840761626184352,66,0.6268245258311119,93,0.498807715306869,155,0.7302598097156145,89,0.5875514387116665,146
ank_24_0,2.849717206309148,66,2.4792194444263074,79,1.4460434049118405,111,1.8836469959848103,109,1.2302294033508874,106
ank_24_12,2.2243788583002155,51,2.2490538427097904,42,1.2868688590858692,50,2.785569047538082,49,2.426484844545371,70
ank_24_14,2.8929374480514225,42,1.4131770586948411,74,0.4420115161203137,102,1.3686518817685378,99,0.5484511087788317,130
ank_24_3,3.493766352589964,61,2.864927374829485,59,2.876906504640699,43,3.30007511287093,43,3.0409424038789616,42
ank_25_1,2.324888068299498,68,1.5248833278463954,102,1.0383937622918609,153,1.363483048411945,93,0.728374512381057,145
ank_25_14,3.0427482489735964,50,2.8023619004145432,64,1.832869866277535,50,2.895155384646234,55,1.647810219641549,91
ank_25_16,3.184549785322961,58,2.356482357711994,54,1.421940598874978,68,2.071990238963932,61,1.727730450054862,94
ank_25_37,2.8801973886597163,37,1.7788730290956276,71,0.9257038907413376,70,2.046362384511358,58,1.233499889905687,94
ank_26_21,2.3878711270619757,50,2.741008096435464,38,1.171065405570968,51,2.8953723863024603,36,1.851326377308994,62
ank_26_22,2.949241989452295,35,1.8048671006640489,37,0.8392594316257415,60,1.5190531103142118,65,1.3000184164346957,87
ank_26_29,0.843267860813069,96,0.7103899709716163,266,0.5876671279014386,359,0.7715100118154398,213,0.606199882098677,369
ank_26_3,1.5236503168188016,86,1.3866114865993708,72,0.962920458078096,128,1.5444980216085953,116,0.8420281462787867,103
ank_26_35,3.7947434073293462,37,2.986497538829277,42,3.2018816668050816,34,2.793737529363279,43,2.5425047018453437,54
ank_26_5,2.1644806762396795,73,1.2679324630592357,119,0.5950375362536717,130,1.1698874367178143,95,0.8425264393503425,143
ank_27_14,3.9589737860704632,58,3.184952558794532,55,3.4291154478350037,44,3.6469021907507084,36,3.134738559330047,68
