stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_0_10,2.5329588034983987,79,2.229852226237353,65,2.889262319287418,75,2.7343608111235946,70,2.4487960955382975,81,1.2282927795517462,77,1.4747537387683816,90,2.028581047090424,73,2.3284100902599167,73,2.6009815794504196,79
ank_0_16,0.9314333316806754,94,0.5462209042136195,85,0.75017143054428,85,0.9548134360687721,110,0.6593938114003914,125,0.5202875889361858,110,0.5575707383493219,141,0.4804017849590634,134,0.938318482679527,83,0.5452350142154796,132
ank_0_30,3.9791669875482736,29,3.5099322990122417,23,3.7120673270835,46,2.8144112426281866,52,4.448685209003803,45,2.8352853129122386,47,2.6202222758070914,38,2.233311942462442,40,2.206456834859291,21,2.4230897661182693,25
ank_0_41,1.0756954819607685,37,0.9234143046401375,48,0.8191725130959866,36,1.6063126387314792,40,0.9937686161149838,53,0.8688959140265032,63,0.9483127032923486,58,0.7952729841603741,58,1.1426966895366892,37,0.8170502555593465,57
ank_10_1,1.370632311406077,79,1.0731728536913516,105,1.0031296332953505,87,1.5129955329961815,104,0.9511222698035702,135,0.764787027834258,123,0.6769885317758927,126,0.69356619503254,152,1.043423895193751,84,0.5765271170945454,131
ank_11_14,1.3478625400532669,62,1.781372817713465,69,2.269385539552834,86,1.164761065285439,65,1.8308881784029423,75,1.8477019548710913,82,1.3689512958657404,97,1.3430615024433377,90,2.3495693566094493,62,1.3525694977706408,109
ank_12_21,3.417712816233306,46,3.716410993684797,47,3.9922620344063837,51,3.7090550770376893,40,3.246865227362819,72,2.904290688087219,59,3.424305191435404,57,3.0525799280580435,70,3.034264833987457,48,2.276383729429628,73
ank_12_28,3.1417996149024914,37,3.3908438502161236,30,3.1374678704262284,29,2.625390151339629,32,2.901494030012159,47,2.694689044061871,63,2.4603286645655196,42,3.3706110938089444,43,3.299088940857165,23,2.279938107686914,40
ank_12_35,0.957393830011055,83,0.6595464295173936,76,0.6080223144526306,151,0.591255637762189,127,0.6160863038407003,138,0.4711138520075474,190,0.43917813522440124,227,0.45854062000921436,244,0.7421175483203043,87,0.4341843107868127,250
ank_13_12,1.6706223302060053,89,1.608233960242766,107,1.4163176007396037,93,1.4823535144298212,107,1.1976895686129123,110,1.0834105950152098,120,0.8336664644848862,141,0.8458332276612549,140,1.179414434079688,107,0.7031888643455684,123
ank_13_17,2.0189917924456453,54,1.6962450104701974,71,2.9213649266618953,42,3.3841671019222272,48,1.5754076064085096,89,1.6942411515211433,78,1.5020157761013246,82,1.3424336267518542,77,3.1697308061996576,47,1.6395294538795837,76
ank_13_21,3.0737799471207436,60,3.1981211409711703,61,3.0138289998565626,39,3.818384382360132,43,2.386683457676084,74,2.6006594091548774,84,2.864378567649349,70,2.6229770480727277,87,3.339271525215315,58,2.5295825833304275,81
ank_13_29,2.2580068948919,47,1.9430758723080321,53,2.323409696783178,57,3.8533971824158915,46,1.9376568340615883,62,2.2093395514382888,67,1.4910115871555985,69,1.996675917013685,61,3.3646693725864014,39,1.6610117306697496,56
ank_13_34,4.167415134906886,31,3.1760095712481,27,3.6822063051973153,18,3.1320631979521973,18,3.1008908518778338,30,2.6744944104879496,48,3.1563337900793735,38,3.0418081443151688,33,3.4926674350289857,22,3.086456570931306,42
ank_13_6,1.2310882383477915,84,0.8206703649443425,79,0.8240960597206729,115,0.857573002643288,101,0.6923109478299597,104,0.6258537962019003,119,0.5057630787034666,140,0.4657000562925326,127,0.8287069959431806,108,0.4699794931896516,144
ank_14_33,1.5102970995911804,46,1.5727049533930069,51,1.1345750866664026,42,1.3373339162368367,38,1.0233033024831655,50,0.795427261933541,47,0.7399382893902483,60,0.8480941815884011,69,1.3139472914854884,44,0.8018150369469718,65
ank_14_9,1.571890952028593,66,1.3141477769932761,66,1.5607937716992337,71,1.9985687336292886,87,1.0937450648824028,110,1.379277935438539,122,1.3878163693426546,99,1.4079855418299692,100,1.7189758403497648,81,1.094011342684526,114
ank_15_22,2.5659741238630343,48,2.057571475944583,63,2.4548327741362144,60,2.4362171919328697,56,1.7716314279400724,70,1.9488321820890664,80,1.5615430507569634,78,1.7266246250533006,79,2.656767609234359,58,1.4749639798558054,79
ank_15_41,1.1057710778230307,29,2.4963870878285785,48,2.688611680943845,38,3.59896225570094,35,1.0558974577917244,42,1.8400179762057203,52,1.8635244658376156,53,1.750830281533229,52,3.367391113680964,34,2.0064282626113483,68
ank_15_6,1.46337039693922,76,1.4833570596606864,81,0.7525903463041862,93,0.8641229542337119,97,0.5887365454102005,112,0.4775715140653267,121,0.5453470913655788,141,0.5906984099553196,127,1.1432930430110009,96,0.4942844311760007,123
ank_16_36,3.5636716242132973,24,3.5816741567695476,21,3.4580768851919106,18,3.6274882181044283,20,3.849213562346101,37,3.193925269020509,37,2.4859399818771606,26,2.7901669961232,32,3.1630644558570395,20,3.106891034848545,29
ank_16_9,2.2617450341394623,64,2.079613927010132,72,1.8403284522953298,65,1.4327472685629172,75,1.355021936204619,81,1.1613239662827843,86,0.8018891049808545,98,0.7275312314818987,100,1.8667094954601209,66,0.8850374670954312,99
ank_17_17,2.854052386919783,52,3.0613580209206765,61,2.697294546009269,58,2.8496505832156895,65,2.6468795108105487,50,3.1871940193438033,47,3.471165677486347,73,3.162094147234577,66,2.552467620090176,54,2.85433210118022,61
