stem,pre_med,pre_n,C2_med,C2_n
ank_0_10,3.5727471516299905,53,1.8033602379292386,67
ank_0_16,1.7794117572928982,77,0.4904037547166155,113
ank_0_30,3.446224904304089,34,2.0054051764956924,23
ank_0_41,2.1414429988142,32,0.8433323512767782,51
ank_10_1,1.4076327083073523,74,0.6136882464852506,141
ank_11_14,1.8192047515453464,53,0.6500836595474164,97
ank_12_21,3.6687100519133344,55,2.487522067198178,52
ank_12_28,4.148737253943167,29,2.8054054110425293,26
ank_12_35,1.8827222694319123,56,0.3909428783260169,239
ank_13_12,1.8296589099999625,83,0.7237074995445726,139
ank_13_17,2.40932319308119,48,0.8717459992804519,61
ank_13_21,2.361124845412062,56,2.3101353261312334,71
ank_13_29,2.4747231628745565,44,0.8839435073929338,50
ank_13_34,2.6576811136475333,21,2.5344453650495145,32
ank_13_6,1.8831103007537435,72,0.5281651134438348,175
ank_14_33,3.023045039824054,24,0.7900683974300341,70
ank_14_9,2.641791696683742,60,0.7220733219121738,103
ank_15_22,3.388774697360242,47,1.073076156408484,54
ank_15_41,3.6136167013673552,30,1.234769884116916,48
ank_15_6,2.5788618794043954,58,0.5215361023004154,177
ank_16_36,3.8246085668434584,11,3.807626962038633,11
ank_16_9,2.458009300731516,38,0.6963220725333601,114
ank_17_17,3.2964406701328497,62,2.8216604354717374,56
ank_17_19,2.732016847994027,55,1.5644881083327578,73
ank_17_22,4.044052899922436,41,2.3263729729386657,56
ank_17_31,2.5965451202702488,61,0.47289756955187906,176
ank_17_32,3.0338922631839655,41,1.641853304915229,53
ank_18_16,3.662567148824515,46,1.1779167919823088,74
ank_18_27,2.731841450892978,37,2.4719031115562617,51
ank_18_29,2.108913983042069,56,0.7032282980977933,85
ank_18_37,1.3963166307531871,33,0.6819992670850479,73
ank_18_39,1.7130964755298188,56,0.4296594045052394,79
ank_18_7,2.5973855611610084,54,0.8450789297203701,95
ank_19_15,2.79484842385336,51,0.9079894738957685,99
ank_19_33,4.31472540924909,19,2.653701550834903,38
ank_19_6,2.617815815166602,60,1.4719069128437665,67
ank_19_9,2.625465191897572,32,0.7297760742634016,75
ank_1_34,3.473055132023447,26,1.1690790484457285,57
ank_20_10,2.3238447686911368,42,0.4012847845789282,167
ank_20_19,3.339545118262882,43,3.0737975798144155,71
ank_20_37,1.0153386685246166,105,0.5234296075325993,201
ank_20_6,2.953198259465808,53,2.617181503971505,100
ank_22_10,1.9163009480003148,79,0.6122855941350737,170
ank_22_16,3.183092814088014,51,1.9215810483174156,46
ank_22_37,1.8768363310702,39,0.7000884977984541,60
ank_23_14,2.28414728193807,66,1.7130895988987382,63
ank_23_28,1.0840761626184352,66,0.45768317492930577,137
ank_24_0,2.849717206309148,66,0.909404382041964,99
ank_24_12,2.2243788583002155,51,1.2913692155021619,44
ank_24_14,2.8929374480514225,42,0.413823581871655,104
ank_24_3,3.493766352589964,61,3.652425910163168,39
ank_25_1,2.324888068299498,68,0.7470295712588118,118
ank_25_14,3.0427482489735964,50,1.5623757935350806,68
ank_25_16,3.184549785322961,58,1.6977360496559735,86
ank_25_37,2.8801973886597163,37,0.8634989442010734,79
ank_26_21,2.3878711270619757,50,1.1365445228807312,57
ank_26_22,2.949241989452295,35,0.8846650178410314,60
ank_26_29,0.843267860813069,96,0.5547912656424707,363
ank_26_3,1.5236503168188016,86,0.7686903135540029,110
ank_26_35,3.7947434073293462,37,4.0769771326702955,34
ank_26_5,2.1644806762396795,73,0.702324587831922,138
ank_27_14,3.9589737860704632,58,3.1798459445576923,45
ank_27_40,3.164839753789221,38,1.9568671768524095,48
ank_28_27,2.8721229839741707,40,0.5298521307407199,55
ank_28_37,1.2579217692025366,89,0.5947711495363808,194
ank_28_38,1.5318626584435702,47,2.1008967084831207,59
ank_28_9,3.1075607318622716,54,3.64621269881535,56
ank_29_0,1.835207884054358,69,1.3954333817783096,107
ank_29_11,3.9944975115326615,42,3.406839651332291,40
ank_29_21,2.7096024964517307,37,1.3370161446085007,56
ank_29_24,1.8262782035956349,77,0.6851810011955075,213
ank_29_26,3.720947211507616,42,0.5125733401394166,97
ank_2_12,1.978966927870006,77,1.0746011958603061,91
ank_2_23,2.769826729071904,41,0.7100410843483155,79
ank_30_30,1.2229625608541594,84,0.4621554413162896,213
ank_30_7,2.143560212861101,85,0.6656604608274364,124
ank_31_32,1.2935808705680123,110,0.47063231826262936,272
ank_31_7,1.5562532140569327,106,0.4298097348853072,191
ank_32_12,3.526263112122079,43,3.0348562936502845,55
ank_32_21,2.578338881427557,56,0.6876490201909444,121
ank_32_37,1.1410843858849529,109,0.4840414749761991,295
ank_33_25,0.7384506999607716,122,0.47338399392861774,261
ank_33_3,1.2171221982622071,102,0.5249931949476582,211
ank_33_34,1.0620638328956362,135,0.4616549146669966,472
ank_33_36,0.94441882722684,87,0.47994591603501136,266
ank_34_11,2.1287737687110035,93,0.5136265634003935,180
ank_34_15,3.247861950784367,68,1.0318168202147717,90
ank_34_21,2.0619582677506365,45,0.7542432267948717,100
ank_34_30,0.9276991144080392,121,0.4925217780831277,326
ank_35_11,1.3642746469371168,122,0.5509315187420949,193
ank_35_28,1.107907097753739,163,0.47544331132553425,388
ank_35_39,2.095562543136553,38,1.2030513899394957,83
ank_35_7,2.025982801213879,58,0.6680601380994325,96
ank_36_40,4.06478319959864,38,1.9810054834109119,53
ank_38_19,4.571640519758185,27,3.264795898699597,38
ank_38_22,1.0934926310796658,93,0.47673615506947375,209
ank_38_24,3.289505946454829,25,1.4197855323938495,74
ank_38_27,2.1426518976101363,46,1.0477904830156082,77
ank_38_40,4.572350961205214,36,1.7280601666650934,54
ank_38_9,1.0070154102404998,76,0.6144242700682606,147
ank_39_1,3.857704303971118,43,2.4825292755339237,56
ank_3_13,3.2403907286669265,42,1.161850684775049,81
ank_3_25,3.465864653519852,50,2.857463429326647,40
ank_3_29,3.442547409282412,13,4.040728749164479,22
ank_3_34,1.3984197669960885,51,0.5615184279032136,105
ank_3_39,2.9192768682694235,22,1.1193347631593433,44
ank_3_9,1.916484618327928,52,1.0705932458956031,100
