stem,pre_med,pre_n,C2_med,C2_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,1.5523113867675882,58,1.475491932909517,92
ank_0_16,1.7794117572928982,77,0.47489974990469835,111,0.6248842208406193,146
ank_0_30,3.446224904304089,34,1.7198180195419512,19,2.2744799048799993,47
ank_0_41,2.1414429988142,32,1.0017912712768138,50,0.6441537339427772,50
ank_10_1,1.4076327083073523,74,0.5862660125254845,145,0.58112245117558,109
ank_11_14,1.8192047515453464,53,0.5734647385931646,90,0.7938189097635088,81
ank_12_21,3.6687100519133344,55,2.969358983491061,52,2.2965408386585318,55
ank_12_28,4.148737253943167,29,2.7509420867065613,35,2.4994437793807913,36
ank_12_35,1.8827222694319123,56,0.3703090753957713,244,0.407522943329499,230
ank_13_12,1.8296589099999625,83,0.6856630149172946,124,0.7077549231455251,126
ank_13_17,2.40932319308119,48,2.0785074664217227,77,1.7159957547218472,74
ank_13_21,2.361124845412062,56,2.2279600194518374,58,2.9623815865118,75
ank_13_29,2.4747231628745565,44,1.0455299582434014,44,1.8522652518080729,52
ank_13_34,2.6576811136475333,21,1.7988179009018674,33,2.390042448009796,32
ank_13_6,1.8831103007537435,72,0.5435086701425476,184,0.497088167841292,155
ank_14_33,3.023045039824054,24,0.8316202754516626,54,0.6315036248876977,52
ank_14_9,2.641791696683742,60,0.8225184792718763,101,1.1228219537150892,93
ank_15_22,3.388774697360242,47,1.035743482466182,54,1.6525453951071298,99
ank_15_41,3.6136167013673552,30,1.466432302339981,46,1.7013839612820862,59
ank_15_6,2.5788618794043954,58,0.4650325618989648,168,0.6142781862422663,147
ank_16_36,3.8246085668434584,11,4.056911145218964,20,3.0817428856195326,28
ank_16_9,2.458009300731516,38,0.6732937937907777,116,0.7852539900924773,90
ank_17_17,3.2964406701328497,62,2.6939034686445464,55,3.397436681219718,62
ank_17_19,2.732016847994027,55,1.3800123829116766,97,2.7272682616790633,71
ank_17_22,4.044052899922436,41,2.035852725425668,42,1.2210234531357558,58
ank_17_31,2.5965451202702488,61,0.45256222223417286,159,0.5392669505606963,181
ank_17_32,3.0338922631839655,41,0.9630297634221026,53,1.0575552838672688,64
ank_18_16,3.662567148824515,46,1.5291788921402785,65,1.5153173532976585,82
ank_18_27,2.731841450892978,37,2.6754397153798855,60,2.1218787740126515,78
ank_18_29,2.108913983042069,56,0.7190658777726113,90,0.9131009300850044,127
ank_18_37,1.3963166307531871,33,0.6414247284534695,62,0.577100615890572,71
ank_18_39,1.7130964755298188,56,0.4532944270938033,80,0.4190293205102601,88
ank_18_7,2.5973855611610084,54,0.6704639942002617,101,0.8393895362582066,111
ank_19_15,2.79484842385336,51,0.7390314272907692,82,0.9191893110507579,130
ank_19_33,4.31472540924909,19,3.272151479881284,38,3.161691456129797,32
