stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.1629095412746513,79,1.6375904365712421,66,2.084053821473037,57,1.7846549485956549,69
ank_0_16,1.7794117572928982,77,0.568698744239761,76,0.45392782078687594,115,0.7697195113015889,92,0.5049939519786106,146
ank_0_30,3.446224904304089,34,2.9919720388647755,27,1.9511342121343729,29,3.9779409458429744,32,3.323340263677916,41
ank_0_41,2.1414429988142,32,1.3482756864565997,45,1.0025930314833391,52,1.528471019697688,47,0.8190596207081926,60
ank_10_1,1.4076327083073523,74,1.5488263958173079,88,0.6199050829020818,163,1.37735529225938,89,0.556731652773278,138
ank_11_14,1.8192047515453464,53,3.037491717072521,81,0.712744368302565,95,1.9930857367254675,59,1.0430310478692442,118
ank_12_21,3.6687100519133344,55,3.2817825310373037,48,3.704740748172437,49,3.8487831224953166,42,2.472989145814738,73
ank_12_28,4.148737253943167,29,4.208313341066778,28,3.6359550962721725,34,2.5697502142400976,24,3.142553709894247,42
ank_12_35,1.8827222694319123,56,0.5567929414519927,125,0.4204808375844559,243,0.6361160578168785,100,0.439555442665882,260
ank_13_12,1.8296589099999625,83,1.2655999933937907,102,0.7567674558264499,132,1.211516487003033,107,0.905453957186442,112
ank_13_17,2.40932319308119,48,3.490900622367142,57,1.1330163586290087,78,2.3968002454053003,50,0.9686302549256758,88
ank_13_21,2.361124845412062,56,3.7427318084204373,45,2.1321971867500458,69,3.4337869523854945,48,2.9814037037451753,89
ank_13_29,2.4747231628745565,44,2.8288639482170437,55,1.1486374113950493,55,3.6541875387838454,38,1.3009985988180388,77
ank_13_34,2.6576811136475333,21,3.4945510891036187,33,2.6584132211690674,40,3.9532714662412696,22,3.401789347141985,43
ank_13_6,1.8831103007537435,72,1.1192560623852703,119,0.6361385834341546,184,0.9133779687614032,101,0.5163408241864709,172
ank_14_33,3.023045039824054,24,0.8329746060990856,37,0.7059457968440495,55,2.021730047005404,33,0.7822457575804717,54
ank_14_9,2.641791696683742,60,1.619535818970935,67,0.6520606774758086,94,1.3849336113047754,68,1.123519142840434,106
ank_15_22,3.388774697360242,47,2.928921243959053,68,1.3990790791711605,70,3.2958227363844683,57,1.45262685764653,99
ank_15_41,3.6136167013673552,30,3.4171258606108332,42,1.308235193025823,45,3.2077917252850674,38,2.3218294898552863,60
ank_15_6,2.5788618794043954,58,0.8908242226931201,79,0.4866855626882959,177,1.374916818955949,87,0.37729855308889376,127
ank_16_36,3.8246085668434584,11,4.4980862411667175,18,4.357176796841777,26,4.40074481404438,15,3.455851105497847,27
ank_16_9,2.458009300731516,38,1.3330628483946283,77,0.5795365939936332,87,2.5733534909392635,62,1.0765865545949613,121
ank_17_17,3.2964406701328497,62,2.9935314111661984,63,2.001765820089429,44,3.327948165255132,51,2.81636202940575,62
ank_17_19,2.732016847994027,55,2.7099499125080544,57,3.0551014015592117,81,2.7993083068107403,60,2.179582720146252,84
ank_17_22,4.044052899922436,41,2.2950998386519452,56,2.6610883366581426,55,3.2063804363309165,47,2.048448237086772,70
ank_17_31,2.5965451202702488,61,0.714486937533265,122,0.44487938667031957,164,0.924360377415944,104,0.5448499372085368,211
ank_17_32,3.0338922631839655,41,2.33403743638432,31,1.5825115872778468,49,2.4460984975725633,43,1.4644480610261534,62
ank_18_16,3.662567148824515,46,2.508825202940961,50,1.5107886673925575,61,2.716164355549326,72,1.8412667701222276,93
ank_18_27,2.731841450892978,37,2.9909390341992212,56,2.231647777930824,50,2.6831292010234193,50,2.87452835328303,55
ank_18_29,2.108913983042069,56,1.0586616457188782,90,0.6322519007470372,80,1.1658293011977567,91,0.7489669051316021,95
ank_18_37,1.3963166307531871,33,0.6308543246486713,47,0.7335353158530864,62,0.6574126162723388,42,0.7873799840831229,80
ank_18_39,1.7130964755298188,56,0.5833519865569388,59,0.39944907948240466,78,0.7857963735896545,49,0.4610483072993117,77
ank_18_7,2.5973855611610084,54,1.6601446424988997,96,0.6187634813599937,89,1.2169027161277806,85,0.953021971971324,127
ank_19_15,2.79484842385336,51,1.5773606145041463,81,0.708233038848352,82,2.5439799258422076,70,0.8182445923494719,101
ank_19_33,4.31472540924909,19,4.029609593100809,30,3.859102310960064,36,4.130278474286496,26,2.8084654583338744,26
ank_19_6,2.617815815166602,60,3.3134991717726865,55,1.9909405904380422,55,2.981759485280847,54,2.2789398281672333,83
ank_19_9,2.625465191897572,32,2.1573655986216798,58,0.7429324924071994,75,2.440515671450534,52,1.2720381251635862,89
ank_1_34,3.473055132023447,26,1.786372536044245,42,1.195653937242,67,2.434463843266868,55,1.5321815329860924,53
ank_20_10,2.3238447686911368,42,0.5838317940831195,90,0.399839125234276,148,0.9801481636863586,107,0.4212424457653063,149
ank_20_19,3.339545118262882,43,3.4472036772026233,49,3.27749309707521,55,3.7092701219642024,50,3.0702848092138555,61
ank_20_37,1.0153386685246166,105,0.5235586199739508,138,0.5763904685354707,200,0.6394437720146111,141,0.5190778839993863,213
ank_20_6,2.953198259465808,53,2.548667355424376,52,1.8577622071586504,80,2.237950470074376,67,1.6165143246760456,81
ank_22_10,1.9163009480003148,79,1.026484509590081,101,0.5164242091831783,132,1.1514642670003485,101,0.5857159232074439,146
ank_22_16,3.183092814088014,51,3.6700781765694432,47,1.532652878470247,44,3.097976068586231,43,1.681191205462234,69
ank_22_37,1.8768363310702,39,1.2992744503670033,58,0.8380097333198391,64,2.5792238405112418,56,0.6854350918308254,65
ank_23_14,2.28414728193807,66,2.357313820214854,65,1.5330032243199474,72,2.329288789494458,49,1.7190160910237553,86
ank_23_28,1.0840761626184352,66,0.7035685976896383,115,0.474954497038488,116,0.7378307346263439,88,0.5512916212909271,110
ank_24_0,2.849717206309148,66,1.9925068141140307,95,1.0658202636893601,94,1.4257052398640866,85,1.0297305163321717,99
ank_24_12,2.2243788583002155,51,2.1138035241727593,60,1.5717943581007883,52,2.3049736408497727,48,2.057679339654089,80
