i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
0,5,642757.0,4562592.0,0.85585,0.32708,0.01063,0.03523,0.00118,0.00109,1.20308,1
1,5,644687.0,4562592.0,0.858,0.31375,0.01367,0.04934,0.00023,0.00027,1.20032,2
1,4,644687.0,4564522.0,0.79335,0.31484,0.00701,0.01158,0.00033,0.0003,1.10558,3
0,4,642757.0,4564522.0,0.77132,0.30721,0.00542,0.05849,0.00074,0.0007,1.06202,4
2,5,646617.0,4562592.0,0.77131,0.25954,0.01149,0.12872,0.00089,0.00119,1.01535,5
2,4,646617.0,4564522.0,0.71235,0.2392,0.0117,0.13469,0.00978,0.00266,0.90798,6
1,1,644687.0,4570312.0,0.46466,0.12143,0.09334,0.0,5e-05,6e-05,0.8817,7
0,0,642757.0,4572242.0,0.49124,0.13092,0.03723,0.0,0.0,0.0,0.7466,8
0,1,642757.0,4570312.0,0.48075,0.13252,0.02609,0.00179,0.0,0.0,0.70735,9
1,3,644687.0,4566452.0,0.61579,0.20629,0.00327,0.28343,0.01606,0.0034,0.70485,10
2,1,646617.0,4570312.0,0.32792,0.09088,0.00492,0.06565,0.0053,0.00242,0.62676,11
2,3,646617.0,4566452.0,0.56547,0.17276,0.00041,0.25527,0.0189,0.00618,0.62364,12
0,6,642757.0,4560662.0,0.54947,0.16124,0.00244,0.34344,8e-05,9e-05,0.61509,13
2,0,646617.0,4572242.0,0.33539,0.10627,0.00051,0.02571,0.01641,0.00451,0.587,14
1,0,644687.0,4572242.0,0.36128,0.09592,0.00727,9e-05,0.00315,0.00099,0.58629,15
2,2,646617.0,4568382.0,0.45722,0.12662,0.01979,0.14831,0.01119,0.00641,0.55869,16
1,2,644687.0,4568382.0,0.46399,0.11758,0.02672,0.25622,0.0046,0.00168,0.55822,17
5,3,652407.0,4566452.0,0.48104,0.14347,0.0207,0.36403,0.03031,0.00965,0.53699,18
0,2,642757.0,4568382.0,0.46387,0.1265,0.02522,0.32759,0.00279,0.00185,0.50796,19
4,2,650477.0,4568382.0,0.46307,0.14129,0.02236,0.44455,0.01019,0.00709,0.49551,20
3,2,648547.0,4568382.0,0.42942,0.1236,0.01835,0.32592,0.0084,0.00394,0.4825,21
2,6,646617.0,4560662.0,0.46494,0.14715,0.00079,0.61232,0.00041,0.0004,0.40436,22
6,3,654337.0,4566452.0,0.33228,0.10733,0.01862,0.47259,0.0,0.0,0.40196,23
0,3,642757.0,4566452.0,0.44517,0.14112,0.00186,0.54325,0.00147,0.00094,0.39426,24
5,4,652407.0,4564522.0,0.4187,0.13688,0.01656,0.44556,0.0243,0.00836,0.38603,25
4,3,650477.0,4566452.0,0.41955,0.113,0.01051,0.46161,0.00765,0.00456,0.38478,26
6,2,654337.0,4568382.0,0.41995,0.12731,0.01675,0.48017,0.00783,0.0034,0.38277,27
1,6,644687.0,4560662.0,0.43598,0.14594,0.00707,0.67067,0.00033,0.00032,0.36309,28
3,1,648547.0,4570312.0,0.26664,0.07664,0.00141,0.37452,0.0198,0.00348,0.35492,29
4,0,650477.0,4572242.0,0.31134,0.09178,0.00273,0.06963,0.03045,0.00664,0.35021,30
3,3,648547.0,4566452.0,0.39537,0.10826,0.0,0.36683,0.01081,0.00349,0.34902,31
4,1,650477.0,4570312.0,0.36147,0.10757,0.00583,0.43549,0.03559,0.00635,0.34668,32
6,1,654337.0,4570312.0,0.36933,0.09114,0.0005,0.29203,0.0296,0.00404,0.33421,33
3,4,648547.0,4564522.0,0.4183,0.10779,0.00068,0.51534,0.01569,0.00548,0.33205,34
5,0,652407.0,4572242.0,0.32833,0.08378,0.00198,0.10345,0.08265,0.01238,0.32126,35
6,4,654337.0,4564522.0,0.3405,0.11242,0.00148,0.59971,0.02669,0.00962,0.27268,36
3,5,648547.0,4562592.0,0.37569,0.10082,0.00188,0.6461,0.00491,0.00198,0.24914,37
3,0,648547.0,4572242.0,0.23635,0.07125,0.0,0.0794,0.06288,0.01146,0.24313,38
6,6,654337.0,4560662.0,0.36989,0.09928,8e-05,0.66284,0.00026,0.00034,0.23103,39
3,6,648547.0,4560662.0,0.3586,0.1094,5e-05,0.74707,0.00023,0.0002,0.21091,40
5,1,652407.0,4570312.0,0.30586,0.0829,0.002,0.40526,0.08074,0.00784,0.2086,41
6,0,654337.0,4572242.0,0.31935,0.07781,0.0,0.18557,0.24588,0.00885,0.19258,42
5,2,652407.0,4568382.0,0.28804,0.08453,0.01706,0.59338,0.01776,0.00364,0.18404,43
6,5,654337.0,4562592.0,0.33365,0.10533,8e-05,0.75544,0.0136,0.00502,0.1649,44
5,5,652407.0,4562592.0,0.29795,0.09592,0.01284,0.69978,0.00327,0.00041,0.15887,45
4,4,650477.0,4564522.0,0.27339,0.07211,0.00964,0.57803,0.00636,0.00321,0.15247,46
4,6,650477.0,4560662.0,0.28871,0.08738,0.01644,0.78286,0.0,0.0,0.12216,47
5,6,652407.0,4560662.0,0.29516,0.09,0.00079,0.8053,0.0,0.0,0.10692,48
4,5,650477.0,4562592.0,0.23039,0.06738,0.01615,0.74322,0.00285,0.00123,0.06112,49
