site,stem,score,rank,residual,provenance
ankara,ank_34_30,1.283581,1,0.541412,"STOCH single-draw, OVP inputs"
ankara,ank_35_28,1.198717,2,0.477119,"STOCH single-draw, OVP inputs"
ankara,ank_26_29,1.103099,3,0.587667,"STOCH single-draw, OVP inputs"
ankara,ank_33_34,1.011339,4,0.455663,"STOCH single-draw, OVP inputs"
ankara,ank_30_30,0.95044,5,0.420828,"STOCH single-draw, OVP inputs"
ankara,ank_31_32,0.872299,6,0.502257,"STOCH single-draw, OVP inputs"
ankara,ank_38_22,0.823592,7,0.486933,"STOCH single-draw, OVP inputs"
ankara,ank_23_28,0.789079,8,0.498808,"STOCH single-draw, OVP inputs"
ankara,ank_33_36,0.741684,9,0.449945,"STOCH single-draw, OVP inputs"
ankara,ank_32_37,0.737507,10,0.567312,"STOCH single-draw, OVP inputs"
ankara,ank_33_25,0.728475,11,0.52981,"STOCH single-draw, OVP inputs"
ankara,ank_20_37,0.657757,12,0.54277,"STOCH single-draw, OVP inputs"
ankara,ank_28_37,0.555071,13,0.629683,"STOCH single-draw, OVP inputs"
ankara,ank_38_24,0.503133,14,0.928205,"STOCH single-draw, OVP inputs"
ankara,ank_34_21,0.450818,15,0.508372,"STOCH single-draw, OVP inputs"
ankara,ank_29_0,0.442869,16,0.797133,"STOCH single-draw, OVP inputs"
ankara,ank_40_19,0.435878,17,0.537412,"STOCH single-draw, OVP inputs"
ankara,ank_18_37,0.418949,18,0.64149,"STOCH single-draw, OVP inputs"
ankara,ank_26_5,0.41108,19,0.595038,"STOCH single-draw, OVP inputs"
ankara,ank_34_15,0.409367,20,0.839952,"STOCH single-draw, OVP inputs"
ankara,ank_38_9,0.39257,21,0.584162,"STOCH single-draw, OVP inputs"
ankara,ank_30_7,0.391461,22,0.709797,"STOCH single-draw, OVP inputs"
ankara,ank_0_16,0.375843,23,0.472521,"STOCH single-draw, OVP inputs"
ankara,ank_26_22,0.356594,24,0.839259,"STOCH single-draw, OVP inputs"
ankara,ank_25_37,0.353836,25,0.925704,"STOCH single-draw, OVP inputs"
ankara,ank_25_1,0.346835,26,1.038394,"STOCH single-draw, OVP inputs"
ankara,ank_12_35,0.329315,27,0.389497,"STOCH single-draw, OVP inputs"
ankara,ank_38_27,0.322198,28,1.139974,"STOCH single-draw, OVP inputs"
ankara,ank_29_24,0.321805,29,0.603242,"STOCH single-draw, OVP inputs"
ankara,ank_35_7,0.319892,30,0.738331,"STOCH single-draw, OVP inputs"
ankara,ank_15_6,0.310357,31,0.406753,"STOCH single-draw, OVP inputs"
ankara,ank_33_3,0.305549,32,0.528589,"STOCH single-draw, OVP inputs"
ankara,ank_24_0,0.302572,33,1.446043,"STOCH single-draw, OVP inputs"
ankara,ank_14_9,0.301976,34,0.64858,"STOCH single-draw, OVP inputs"
ankara,ank_22_10,0.293324,35,0.554392,"STOCH single-draw, OVP inputs"
ankara,ank_34_11,0.291592,36,0.581669,"STOCH single-draw, OVP inputs"
ankara,ank_24_14,0.286257,37,0.442012,"STOCH single-draw, OVP inputs"
ankara,ank_3_39,0.28453,38,0.91261,"STOCH single-draw, OVP inputs"
ankara,ank_22_37,0.280095,39,0.801465,"STOCH single-draw, OVP inputs"
ankara,ank_18_7,0.263501,40,1.056605,"STOCH single-draw, OVP inputs"
ankara,ank_13_6,0.257876,41,0.549861,"STOCH single-draw, OVP inputs"
ankara,ank_16_9,0.256505,42,0.596502,"STOCH single-draw, OVP inputs"
ankara,ank_20_10,0.254484,43,0.389679,"STOCH single-draw, OVP inputs"
ankara,ank_19_15,0.254423,44,0.691729,"STOCH single-draw, OVP inputs"
ankara,ank_18_39,0.246619,45,0.371452,"STOCH single-draw, OVP inputs"
ankara,ank_29_26,0.243114,46,0.576625,"STOCH single-draw, OVP inputs"
ankara,ank_17_31,0.241966,47,0.463507,"STOCH single-draw, OVP inputs"
ankara,ank_18_29,0.237432,48,0.644499,"STOCH single-draw, OVP inputs"
ankara,ank_26_21,0.230698,49,1.171065,"STOCH single-draw, OVP inputs"
ankara,ank_0_10,0.230144,50,1.014935,"STOCH single-draw, OVP inputs"
ankara,ank_31_7,0.228868,51,0.507927,"STOCH single-draw, OVP inputs"
ankara,ank_8_41,0.22776,52,0.435967,"STOCH single-draw, OVP inputs"
ankara,ank_2_23,0.226257,53,0.743987,"STOCH single-draw, OVP inputs"
ankara,ank_28_27,0.225922,54,0.984556,"STOCH single-draw, OVP inputs"
ankara,ank_32_21,0.221878,55,0.835627,"STOCH single-draw, OVP inputs"
ankara,ank_11_14,0.220739,56,0.72471,"STOCH single-draw, OVP inputs"
ankara,ank_10_1,0.219363,57,0.552677,"STOCH single-draw, OVP inputs"
ankara,ank_35_11,0.214498,58,0.552448,"STOCH single-draw, OVP inputs"
ankara,ank_17_19,0.213658,59,1.554051,"STOCH single-draw, OVP inputs"
ankara,ank_1_34,0.21317,60,1.152202,"STOCH single-draw, OVP inputs"
ankara,ank_3_9,0.211719,61,1.266411,"STOCH single-draw, OVP inputs"
ankara,ank_35_39,0.205829,62,0.590619,"STOCH single-draw, OVP inputs"
ankara,ank_8_22,0.205736,63,0.771435,"STOCH single-draw, OVP inputs"
ankara,ank_5_12,0.204781,64,0.33958,"STOCH single-draw, OVP inputs"
ankara,ank_17_22,0.201106,65,2.899823,"STOCH single-draw, OVP inputs"
ankara,ank_29_21,0.200264,66,1.566201,"STOCH single-draw, OVP inputs"
ankara,ank_20_6,0.19731,67,2.137645,"STOCH single-draw, OVP inputs"
ankara,ank_41_1,0.191607,68,2.419861,"STOCH single-draw, OVP inputs"
ankara,ank_9_24,0.191417,69,0.751742,"STOCH single-draw, OVP inputs"
ankara,ank_19_9,0.189495,70,1.218576,"STOCH single-draw, OVP inputs"
ankara,ank_26_35,0.177249,71,3.201882,"STOCH single-draw, OVP inputs"
ankara,ank_18_16,0.175264,72,1.643852,"STOCH single-draw, OVP inputs"
ankara,ank_14_33,0.169424,73,0.838331,"STOCH single-draw, OVP inputs"
ankara,ank_28_38,0.16931,74,1.308443,"STOCH single-draw, OVP inputs"
ankara,ank_4_41,0.164815,75,0.943523,"STOCH single-draw, OVP inputs"
ankara,ank_0_41,0.163349,76,0.852309,"STOCH single-draw, OVP inputs"
ankara,ank_38_40,0.15999,77,1.610135,"STOCH single-draw, OVP inputs"
ankara,ank_41_0,0.152405,78,1.244249,"STOCH single-draw, OVP inputs"
ankara,ank_24_12,0.148924,79,1.286869,"STOCH single-draw, OVP inputs"
ankara,ank_9_1,0.148528,80,1.312931,"STOCH single-draw, OVP inputs"
