site,stem,score,rank,residual,provenance,n_pts
cappadocia,36SXJ_31_35,0.455909,1,0.9816897518247459,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",60
cappadocia,36SXJ_36_40,0.409146,2,1.4353251441781723,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",48
cappadocia,36SXJ_12_41,0.405088,3,0.8075359506691093,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",90
cappadocia,36SXJ_1_27,0.401918,4,1.1091027935101159,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",62
cappadocia,36SXJ_41_20,0.373757,5,0.8844936675664217,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",100
cappadocia,36SXJ_1_28,0.337582,6,1.6684126983421412,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",29
cappadocia,36SXJ_1_26,0.306055,7,1.494580373229838,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",92
cappadocia,36SXJ_39_3,0.303391,8,0.6913289754022978,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",167
cappadocia,36SXJ_18_0,0.287115,9,0.7438957418363947,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",133
cappadocia,36SXJ_23_40,0.273634,10,1.715622210190194,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",58
cappadocia,36SXJ_9_1,0.241184,11,0.5648008646805386,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",137
cappadocia,36SXJ_9_39,0.217473,12,1.6050886171465788,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",39
cappadocia,36SXJ_24_39,0.205765,13,2.401837655108713,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",47
cappadocia,36SXJ_7_28,0.199503,14,1.1146777410089934,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",64
cappadocia,36SXJ_18_8,0.196545,15,1.7220804964829661,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",73
cappadocia,36SXJ_30_11,0.195596,16,0.43114402124634366,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",54
cappadocia,36SXJ_1_24,0.195257,17,0.7436752988473596,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",58
cappadocia,36SXJ_17_7,0.18566,18,0.9113736637602701,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",86
