gx,gy,easting,northing,nodata,cloud_scl,snow
0,0,600000.0,4400040.0,0.0,0.0,0.0
1,0,602570.0,4400040.0,0.0,0.0,0.0
2,0,605140.0,4400040.0,0.0,0.0,0.0
3,0,607710.0,4400040.0,0.0,0.0,0.0
4,0,610280.0,4400040.0,0.0,0.0,0.0
5,0,612850.0,4400040.0,0.0,0.0,0.0
6,0,615420.0,4400040.0,0.0,0.0,0.0
7,0,617990.0,4400040.0,0.0,0.0,0.0
8,0,620560.0,4400040.0,0.0,0.0,0.0
9,0,623130.0,4400040.0,0.0,0.0,0.0
10,0,625700.0,4400040.0,0.0,0.0,0.0
11,0,628270.0,4400040.0,0.0,0.0,0.0
12,0,630840.0,4400040.0,0.0,0.0,0.0
13,0,633410.0,4400040.0,0.0,0.0,0.0
14,0,635980.0,4400040.0,0.0,0.0,0.0
15,0,638550.0,4400040.0,0.0,0.0,0.0
16,0,641120.0,4400040.0,0.0,0.0,0.0
17,0,643690.0,4400040.0,2e-05,0.13899,0.0
18,0,646260.0,4400040.0,0.0,0.0,0.0
19,0,648830.0,4400040.0,0.0,0.0,0.0
20,0,651400.0,4400040.0,0.0,0.0,0.0
21,0,653970.0,4400040.0,0.0,0.0,0.0
22,0,656540.0,4400040.0,0.0,0.0,0.0
23,0,659110.0,4400040.0,0.0,0.0,0.0
24,0,661680.0,4400040.0,0.0,0.0,0.0
25,0,664250.0,4400040.0,0.0,0.0,0.0
26,0,666820.0,4400040.0,0.0,0.0,0.0
27,0,669390.0,4400040.0,0.0,0.0,0.0
28,0,671960.0,4400040.0,0.0,0.0,0.0
29,0,674530.0,4400040.0,0.0,0.0,0.0
30,0,677100.0,4400040.0,0.0,0.0,0.0
31,0,679670.0,4400040.0,0.0,0.0,0.0
32,0,682240.0,4400040.0,0.0,0.0,0.0
33,0,684810.0,4400040.0,0.0,0.0,0.0
34,0,687380.0,4400040.0,0.0,0.0,0.0
35,0,689950.0,4400040.0,0.0,0.0,0.0
36,0,692520.0,4400040.0,0.0,0.0,0.0
37,0,695090.0,4400040.0,0.0,0.0,0.0
38,0,697660.0,4400040.0,0.0,0.0,0.0
39,0,700230.0,4400040.0,0.0,0.0,0.0
40,0,702800.0,4400040.0,0.0,0.0,0.0
41,0,705370.0,4400040.0,0.0,0.0,0.0
0,1,600000.0,4397470.0,0.0,0.0,0.0
1,1,602570.0,4397470.0,0.0,0.0,0.0
2,1,605140.0,4397470.0,0.0,0.0,0.0
3,1,607710.0,4397470.0,0.0,0.0,0.0
4,1,610280.0,4397470.0,0.0,0.0,0.0
5,1,612850.0,4397470.0,0.0,0.0,0.0
6,1,615420.0,4397470.0,0.0,0.0,0.0
7,1,617990.0,4397470.0,0.0,0.0,0.0
8,1,620560.0,4397470.0,0.0,0.0,0.0
9,1,623130.0,4397470.0,0.0,0.0,0.0
10,1,625700.0,4397470.0,0.0,0.0,0.0
11,1,628270.0,4397470.0,0.0,0.0,0.0
12,1,630840.0,4397470.0,0.0,0.0,0.0
13,1,633410.0,4397470.0,0.0,0.0,0.0
14,1,635980.0,4397470.0,0.0,0.0,0.0
15,1,638550.0,4397470.0,0.0,0.0,0.0
16,1,641120.0,4397470.0,0.0,0.0,0.0
17,1,643690.0,4397470.0,0.0,0.00709,0.0
18,1,646260.0,4397470.0,0.0,0.0,0.0
19,1,648830.0,4397470.0,0.0,0.0,0.0
20,1,651400.0,4397470.0,0.0,0.0,0.0
21,1,653970.0,4397470.0,0.0,0.0,0.0
22,1,656540.0,4397470.0,0.0,0.0,0.0
23,1,659110.0,4397470.0,0.0,0.0,0.0
24,1,661680.0,4397470.0,0.0,0.0,0.0
25,1,664250.0,4397470.0,0.0,0.0,0.0
26,1,666820.0,4397470.0,0.0,0.0,0.0
27,1,669390.0,4397470.0,0.0,0.0,0.0
28,1,671960.0,4397470.0,0.0,0.0,0.0
29,1,674530.0,4397470.0,0.0,0.0,0.0
30,1,677100.0,4397470.0,0.0,0.0,0.0
31,1,679670.0,4397470.0,0.0,0.0,0.0
32,1,682240.0,4397470.0,0.0,0.0,0.0
33,1,684810.0,4397470.0,0.0,0.0,0.0
34,1,687380.0,4397470.0,0.0,0.0,0.0
35,1,689950.0,4397470.0,0.0,0.0,0.0
36,1,692520.0,4397470.0,3e-05,0.0,0.0
37,1,695090.0,4397470.0,2e-05,0.0,0.0
38,1,697660.0,4397470.0,0.0,0.0,0.0
39,1,700230.0,4397470.0,0.0,0.0,0.0
40,1,702800.0,4397470.0,0.0,0.0,0.0
41,1,705370.0,4397470.0,0.0,0.0,0.0
0,2,600000.0,4394900.0,0.0,0.0,0.0
1,2,602570.0,4394900.0,0.0,0.0,0.0
2,2,605140.0,4394900.0,0.0,0.0,0.0
3,2,607710.0,4394900.0,0.0,0.0,0.0
4,2,610280.0,4394900.0,0.0,0.0,0.0
5,2,612850.0,4394900.0,0.0,0.0,0.0
6,2,615420.0,4394900.0,0.0,0.0,0.0
7,2,617990.0,4394900.0,0.0,0.0,0.0
8,2,620560.0,4394900.0,0.0,0.0,0.0
9,2,623130.0,4394900.0,0.0,0.0,0.0
10,2,625700.0,4394900.0,0.0,0.0,0.0
11,2,628270.0,4394900.0,0.0,0.0,0.0
12,2,630840.0,4394900.0,0.0,0.0,0.0
13,2,633410.0,4394900.0,0.0,0.0,0.0
