# Per-chip ruggedness from Copernicus DEM GLO-30 (registered Phase D Check 2).
# slope_std_deg = std dev of slope (degrees) over all DEM cells whose center
#   lies within the 2570m x 2570m chip footprint (EPSG:32636, NW-corner origin).
# Slope via Horn's method on the DEM native lat/lon grid:
#   dz/dx = ((c+2f+i)-(a+2d+g))/(8*xres_m); dz/dy = ((g+2h+i)-(a+2b+c))/(8*yres_m);
#   slope = atan(sqrt((dz/dx)^2+(dz/dy)^2)) in degrees.
#   xres_m = dlon_deg * (111412.84*cos(phi) - 93.5*cos(3phi) + 0.118*cos(5phi)) per-row;
#   yres_m = dlat_deg * (111132.954 - 559.822*cos(2phi) + 1.175*cos(4phi)); phi = cell-center latitude.
# Thresholds over the 130-chip distribution: p75 = 3.989252 deg, p50 = 3.047140 deg.
# Labels: badlands if slope_std_deg >= p75; flat if < p50; buffer otherwise. rank 1 = most rugged.
# DEM tiles: Copernicus_DSM_COG_10_N38_00_E034_00_DEM, Copernicus_DSM_COG_10_N38_00_E035_00_DEM, Copernicus_DSM_COG_10_N39_00_E034_00_DEM, Copernicus_DSM_COG_10_N39_00_E035_00_DEM
stem,slope_std_deg,rank,label
36SXJ_15_29,0.688417,124,flat
36SXJ_18_28,0.610756,128,flat
36SXJ_5_30,1.772406,102,flat
36SXJ_18_21,4.233094,30,badlands
36SXJ_41_33,0.962945,122,flat
36SXJ_13_13,2.447131,79,flat
36SXJ_33_4,1.593518,111,flat
36SXJ_4_17,2.216230,87,flat
36SXJ_6_20,0.290750,130,flat
36SXJ_21_18,2.999409,66,flat
36SXJ_28_20,4.500466,25,badlands
36SXJ_11_25,1.699010,107,flat
36SXJ_10_17,0.682760,125,flat
36SXJ_16_11,2.143856,92,flat
36SXJ_17_21,3.314372,52,buffer
36SXJ_27_9,1.994543,98,flat
36SXJ_23_0,2.783080,73,flat
36SXJ_22_17,2.289858,83,flat
36SXJ_17_9,1.025468,121,flat
36SXJ_15_30,0.639416,127,flat
36SXJ_38_18,3.274605,54,buffer
36SXJ_20_20,3.512871,45,buffer
36SXJ_15_38,4.306919,29,badlands
36SXJ_9_14,1.076760,119,flat
36SXJ_14_31,1.929064,99,flat
36SXJ_0_35,1.571811,112,flat
36SXJ_14_23,1.032578,120,flat
36SXJ_29_10,3.450887,48,buffer
36SXJ_16_21,2.889470,71,flat
36SXJ_12_12,4.085321,32,badlands
36SXJ_22_19,2.938756,68,flat
36SXJ_31_5,2.518708,77,flat
36SXJ_21_28,1.158715,117,flat
36SXJ_16_39,4.493943,26,badlands
36SXJ_37_8,1.761359,103,flat
36SXJ_7_40,2.326541,82,flat
36SXJ_29_20,1.921990,100,flat
36SXJ_6_12,1.490688,113,flat
36SXJ_19_19,2.228856,86,flat
36SXJ_19_21,3.113064,62,buffer
36SXJ_19_15,2.164759,90,flat
36SXJ_40_0,2.241027,85,flat
36SXJ_10_23,0.796640,123,flat
36SXJ_16_0,3.115400,61,buffer
36SXJ_19_18,2.439588,80,flat
36SXJ_35_18,2.273243,84,flat
36SXJ_18_31,0.676854,126,flat
36SXJ_9_11,3.948666,36,buffer
36SXJ_9_22,0.475580,129,flat
36SXJ_32_3,3.420431,49,buffer
