i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
3,3,657190.0,4342850.0,0.20395,0.04444,0.0002,2e-05,0.0,0.0,0.25133,1
3,2,657190.0,4344780.0,0.11762,0.02648,0.0,0.0,0.0,0.0,0.1441,2
2,2,655260.0,4344780.0,0.08036,0.02056,0.0,8e-05,0.0,0.0,0.09546,3
2,3,655260.0,4342850.0,0.05933,0.01615,0.0,0.0,0.0,0.0,0.0723,4
1,2,653330.0,4344780.0,0.0415,0.01351,0.0,0.0,0.0,0.0,0.05108,5
3,0,657190.0,4348640.0,0.03749,0.01319,0.0,0.0,0.0,0.0,0.04408,6
1,3,653330.0,4342850.0,0.02818,0.00974,0.0,0.0,0.0,0.0,0.03528,7
0,2,651400.0,4344780.0,0.02633,0.00935,0.0,0.0,0.0,0.0,0.03416,8
1,1,653330.0,4346710.0,0.02807,0.00839,0.0,0.0,0.0,0.0,0.0327,9
0,1,651400.0,4346710.0,0.02787,0.00833,0.0,0.0,0.0,0.0,0.03204,10
0,0,651400.0,4348640.0,0.01361,0.00473,0.0,0.0,0.0,0.0,0.01597,11
0,3,651400.0,4342850.0,0.01198,0.00481,0.0,0.0,0.0,0.0,0.01438,12
2,1,655260.0,4346710.0,0.00996,0.00332,0.0,0.0,0.0,0.0,0.01165,13
3,1,657190.0,4346710.0,0.00483,0.00178,0.0,0.0,0.0,0.0,0.00572,14
1,0,653330.0,4348640.0,0.0021,0.00079,0.0,0.0,0.0,0.0,0.0025,15
2,0,655260.0,4348640.0,0.00112,0.00041,0.0,0.0,0.0,0.0,0.00133,16
