stem,stratum,conf_D,conf_B,conf_S,osm_fraction,err_C2,n_C2,err_C1,conf_COMB
30SVJ_0796_00,1,0.1505067876397133,-64.00644044869011,-1.8346869945526123,0.00033308604218080514,3.6921460117999914,32.0,5.140333133759897,-0.5668903884645974
30SVJ_1711_00,1,0.15501955208297455,-45.51518496242488,-1.784679889678955,0.0015897288376811155,3.3331353224930664,27.0,6.410404756689218,-0.5314554236516144
30TVK_0841_00,1,0.14168978420344383,-54.243441593736385,-1.3593945503234863,0.00039364714075913336,2.692474118843995,22.0,4.340327293593437,-0.28038829992848613
30TVK_1026_00,4,0.6451167691281106,-17.972266672344734,-1.7430477142333984,0.03506487607685203,2.3689576087260593,76.0,3.1039938821691746,-0.02896182262167809
30TVK_1126_00,1,0.14154082361681677,-51.653077344402185,-1.932852029800415,0.0006964526336507744,3.3306996350499944,33.0,2.7519392089741173,-0.6365543598251014
30TVK_1289_00,4,0.69589267231634,-17.195858851653846,-1.9310367107391357,0.042438189828763496,1.9632113031034022,78.0,2.7428916500049874,-0.09628914074682192
30TVK_1386_00,1,0.16488321529945552,-66.08843841589345,-2.9558353424072266,0.00021196384502414873,3.125581712886931,36.0,2.5139387401073736,-1.2489541262606196
30TVK_1390_00,1,0.16302508924306097,-55.51976726862639,-2.2632060050964355,0.0004844887886266257,3.437104958813012,36.0,5.185744156485594,-0.8207542775687506
30TVK_1486_00,5,1.450171097479791,-5.6631707378981435,-2.1563379764556885,0.24310738996805403,2.6507328246065027,76.0,3.0816799065167917,0.49741445205610363
30TVK_1697_00,1,0.21080861764255265,-45.119063204595406,-2.219496965408325,0.011491468455237778,2.7950175002371007,37.0,3.919489559101604,-0.7471461173597065
30TVK_2306_00,3,0.4780625421599368,-18.193754613855326,-2.0107672214508057,0.0045269421187300336,3.076397657999606,25.0,2.998429050342877,-0.35764045074823647
30TVK_2317_00,4,0.9986795490562961,-16.790668821576563,-2.0944466590881348,0.044209601962179594,1.979718983220588,43.0,2.8268935648487994,0.09673780053474879
30TVK_2377_00,5,1.5890916806128352,-4.4661061821564685,-2.685145854949951,0.2607609502036367,2.0866104634777543,56.0,2.022446202895091,0.30422124438867926
30TVK_2512_00,1,0.11030450150121654,-97.82326438881772,-2.2716054916381836,0.00015140274644582052,4.182496533486124,27.0,4.545472485515807,-0.8772426772108886
30TXP_0408_00,1,0.2090933267372661,-31.258887517825137,-1.059148907661438,0.006797983315417342,2.5504325968620325,78.0,3.284065139894052,-0.028432251283021237
30TXP_0411_00,2,0.19680720252004416,-45.54381159931516,-1.772416114807129,0.0006813123590061924,2.533901058668328,82.0,2.918272175641575,-0.4832008408707571
30TXP_0787_00,2,0.2904602886615764,-33.15557174916204,-1.604241132736206,0.003194597950006813,2.013555530729945,88.0,2.6824030376727754,-0.28770943361569434
30TXP_1048_00,2,0.3250716324409159,-69.51760053180409,-1.4541102647781372,0.00033308604218080514,2.8237683326421568,77.0,3.14502057341381,-0.16084180349044094
30TXQ_0830_00,1,0.13581513475328844,-114.98807658243172,-1.7719441652297974,4.5420823933746156e-05,3.7995512322415834,56.0,2.768249103180981,-0.5422260398004686
30TXQ_0896_00,2,0.38695482226119654,-21.923433764861507,-1.2967571020126343,0.011809414222774001,2.0742696109666063,76.0,3.7439228889341454,-0.0029669390230482318
30TXQ_0902_00,4,0.7288860174862779,-18.460462490783087,-1.077817678451538,0.07535314690608487,1.1961326037564728,134.0,1.6365965869660177,0.4655050578583234
30TXQ_0911_00,5,1.4276118427525222,-8.607404411138662,-0.9273865818977356,0.11010007721540069,0.9197151091278276,190.0,0.9749840701969507,1.2384475949756153
30TXQ_0934_00,5,1.4321366931748876,-7.8061906225448165,-1.782740831375122,0.19013156898666142,1.1814006890279827,156.0,1.189286958528888,0.7118163293553231
30TYQ_1071_00,1,0.1733045877422985,-32.34839723721768,-1.4271154403686523,0.007040227709730655,2.7054174912825015,49.0,3.932935959557741,-0.2916844802584238
30UYC_0046_00,5,2.0249215208533364,-4.746935211490543,-1.0255851745605469,0.2675892140683432,0.6374707648310336,155.0,0.526060169129999,1.7583997957950686
30UYC_0100_00,4,1.2005211199394414,-9.206188838240998,-1.9881608486175537,0.21169132008054625,1.87509930467219,55.0,1.9267576804138562,0.3590257414196949
30UYC_0245_00,3,0.72961094033627,-19.759991563781902,-1.4989752769470215,0.03594301200623779,2.220087656095119,52.0,2.1022459879078497,0.20474165336612116
30UYC_0687_00,1,0.27569992084166606,-55.54913948836214,-3.546302318572998,0.00516283365380248,3.132997705458485,48.0,2.572852110800398,-1.5077599158812232
30UYC_0725_00,3,0.8849541722653572,-18.258759114923553,-1.4514822959899902,0.06361943405653378,2.403112449890031,47.0,1.728381803444806,0.385306841925003
30UYD_0119_00,2,0.622354995818199,-23.49776407892627,-1.3467236757278442,0.03270299323229724,3.94276347135499,39.0,4.325003933619853,0.19495202352590188
30UYD_1432_00,3,0.8509086818224907,-12.112381047698268,-1.8857733011245728,0.0730518251601084,3.2061684599332563,38.0,2.7474409891824303,0.08257361476437965
31TCJ_0091_00,2,0.30865192551205434,-14.223893267310542,-2.3431859016418457,0.01718421172160063,3.2080669972215077,36.0,3.7609698653450154,-0.7287781656292103
31TCJ_0672_00,3,0.6017077044986388,-10.834100626312582,-1.462953805923462,0.024269860255265032,2.547742321292913,55.0,2.5682308853582594,0.10271190468061893
31TCJ_1037_00,5,0.9486174253878324,-10.555751248812628,-1.1940345764160156,0.02295265636118639,0.8607310186773487,106.0,1.436731853127541,0.6070548971707066
31TCJ_1340_00,4,0.7610906396168527,-14.813987708156903,-1.9230923652648926,0.022710411966873078,1.6784757020661458,78.0,1.731750252000332,-0.027948357391928788
31TCJ_1353_00,4,0.9241579828136933,-16.373244806924525,-0.5688414573669434,0.028978485669730047,1.3456709162741758,105.0,1.9082399234290273,0.971407086929404
31TCJ_1375_00,3,0.36739776136897506,-33.658609317923045,-1.1047677993774414,0.0015140274644582052,1.5921419478857026,81.0,3.840945841248137,0.09720597217359622
31TCM_0023_00,4,0.6761112774684628,-28.516622061632617,-0.7167356014251709,0.007782101167315175,1.1135892133731233,93.0,2.4872787631474282,0.6383502494673384
31TCM_0853_00,5,1.4967469650741647,-9.368152482490705,-0.9320067167282104,0.12430165483201865,1.1054311920532787,131.0,1.3315352834667769,1.3028170410850994
31TCM_1060_00,3,0.5372915621845722,-23.99034844731769,-0.987113356590271,0.014398401186997532,1.4561455327639963,142.0,1.9187944165587503,0.33548093732950857
31TCM_1094_00,5,1.0556224126049198,-9.884599239699076,-0.8984341025352478,0.045708489151993215,0.9382152190886766,99.0,1.3689145996902314,0.8946416950137788
31TCM_1192_00,4,0.7473516688706505,-30.269502316200498,-0.6721897125244141,0.004542082393374616,1.6278763226337198,162.0,1.4231293546769064,0.7352910656367125
31TCM_1717_00,4,0.5268840788575258,-18.524393362543886,-1.9208464622497559,0.011536889279171524,2.7579735856625924,73.0,2.7194782294378133,-0.254333020172986
31TCM_1743_00,5,0.8548924573729105,-19.713612554116956,-0.8848133683204651,0.021484049720661934,1.0521003450638544,175.0,1.544621618780089,0.7078767731757383
31TCM_2040_00,3,0.6170592439472798,-22.33607829995361,-1.4356505870819092,0.009780617420400007,2.0605486331504337,75.0,2.449603764911857,0.13459286888506422
31TCN_1555_00,3,0.5695494931480931,-29.078683791729826,-1.2939434051513672,0.0038607700343684234,1.7697419539123713,76.0,2.7262741053553747,0.17636343658005205
31TCN_1803_00,2,0.44643134527378486,-38.06838338113044,-1.5691912174224854,0.0061469515057003135,2.6795326305201757,65.0,3.0384495410001002,-0.11425871313766822
31TFH_0022_00,5,1.5363362905973286,-8.790434162209829,-0.8957095146179199,0.16172841375342548,0.6197053022137493,166.0,0.9119011774712453,1.363854368675474
31TFJ_1359_00,5,2.1362980516227426,-3.4191705046546446,-2.5851669311523438,0.4703023512846523,0.6156341534807283,277.0,0.6817230437580633,0.898480267616989
31TGH_0053_00,5,1.2065826473408063,-10.150152123703393,-1.0754128694534302,0.06513346152099199,0.7775683158935265,203.0,0.8239791667319258,0.9315847595505455
31TGH_0153_00,3,0.5281729626193693,-26.536438816220095,-1.5489270687103271,0.008539114899544278,0.9091577469926094,108.0,2.2185360654770196,-0.022179766482497587
31TGJ_0274_00,5,0.9165610494464411,-18.50622630842273,-0.7541241645812988,0.058471740677375886,0.9431017143544402,210.0,1.1560703630263949,0.84898907015362
31TGJ_0550_00,2,0.48952148976580934,-29.157586174401473,-1.1395902633666992,0.0036185256400551105,2.0593388195509226,82.0,3.199574186209754,0.19435920913518
31TGJ_0811_00,4,0.723160535767811,-10.981499920581788,-1.3821594715118408,0.017078229799088556,1.3163128300207412,99.0,1.777020025022709,0.2709913522055969
31TGJ_0814_00,1,0.218055124003472,-113.75951645127537,-1.5331028699874878,0.0018622537812835924,3.060612032885139,70.0,3.165935599308413,-0.3139625463042638
31TGJ_0831_00,3,0.4520562438381174,-33.03529963631009,-1.516087293624878,0.0021196384502414874,1.4017080283255632,108.0,2.345749838138618,-0.07581952899937949
