i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
3,2,483383.0,4415677.0,0.89179,0.37977,0.1303,0.10513,0.00015,0.00014,1.3211,1
3,1,483383.0,4417607.0,0.86654,0.34265,0.11319,0.06727,6e-05,6e-05,1.2831,2
3,0,483383.0,4419537.0,0.8754,0.35988,0.12226,0.1036,0.00071,0.00033,1.27479,3
2,1,481453.0,4417607.0,0.84574,0.33803,0.07067,0.19731,0.00023,0.0002,1.1591,4
3,3,483383.0,4413747.0,0.80265,0.34478,0.05653,0.16848,0.00023,0.00018,1.11609,5
2,0,481453.0,4419537.0,0.79509,0.29482,0.07352,0.19631,0.00041,0.00026,1.07182,6
0,1,477593.0,4417607.0,0.70181,0.22861,0.06678,0.1577,0.00174,0.00068,0.93575,7
0,0,477593.0,4419537.0,0.72386,0.23734,0.04842,0.33737,3e-05,5e-05,0.85891,8
0,3,477593.0,4413747.0,0.64214,0.22576,0.03991,0.13198,0.00061,0.00058,0.84825,9
1,1,479523.0,4417607.0,0.68054,0.23965,0.04999,0.29699,0.00089,0.00044,0.83763,10
1,0,479523.0,4419537.0,0.67607,0.2308,0.0546,0.30552,3e-05,5e-05,0.82774,11
0,2,477593.0,4415677.0,0.64682,0.22633,0.0384,0.28237,0.01837,0.00284,0.79158,12
2,2,481453.0,4415677.0,0.61108,0.22795,0.03196,0.54228,0.00023,0.00021,0.66008,13
1,2,479523.0,4415677.0,0.48388,0.17205,0.02151,0.65249,0.00354,0.00088,0.43498,14
1,3,479523.0,4413747.0,0.37242,0.12682,0.00913,0.67954,0.00354,0.00088,0.25849,15
2,3,481453.0,4413747.0,0.38211,0.13122,0.00707,0.77882,0.00012,9e-05,0.23748,16
