set,arm,band,matcher,chip,med,n
ank130,pretrained,rgb,klt,ank_0_10,3.4202333198522137,60
ank130,pretrained,rgb,klt,ank_0_16,2.384862391438782,70
ank130,pretrained,rgb,klt,ank_0_30,3.3387973218253046,28
ank130,pretrained,rgb,klt,ank_0_41,2.5939270093610203,26
ank130,pretrained,rgb,klt,ank_10_1,1.3793783388990697,82
ank130,pretrained,rgb,klt,ank_11_14,2.1072049859277864,39
ank130,pretrained,rgb,klt,ank_12_21,3.840477071953303,52
ank130,pretrained,rgb,klt,ank_12_28,3.751571402421939,24
ank130,pretrained,rgb,klt,ank_12_35,2.0236169132480937,59
ank130,pretrained,rgb,klt,ank_13_12,1.9687657879551477,81
ank130,pretrained,rgb,klt,ank_13_17,2.9336896856680665,43
ank130,pretrained,rgb,klt,ank_13_21,2.4552028634420084,48
ank130,pretrained,rgb,klt,ank_13_29,3.7566123078373583,41
ank130,pretrained,rgb,klt,ank_13_34,2.9330486999203997,26
ank130,pretrained,rgb,klt,ank_13_6,1.6551381930016695,67
ank130,pretrained,rgb,klt,ank_14_33,2.6852041495163994,23
ank130,pretrained,rgb,klt,ank_14_9,2.6853700722182094,48
ank130,pretrained,rgb,klt,ank_15_22,2.711390639736519,45
ank130,pretrained,rgb,klt,ank_15_41,3.454310934309768,31
ank130,pretrained,rgb,klt,ank_15_6,2.2565164080808167,74
ank130,pretrained,rgb,klt,ank_16_36,2.8374037080167502,10
ank130,pretrained,rgb,klt,ank_16_9,2.806683662740791,56
ank130,pretrained,rgb,klt,ank_17_17,2.841473332289143,50
ank130,pretrained,rgb,klt,ank_17_19,3.8275000827557153,47
ank130,pretrained,rgb,klt,ank_17_22,2.4340296949742752,53
ank130,pretrained,rgb,klt,ank_17_31,2.534098500596339,59
ank130,pretrained,rgb,klt,ank_17_32,3.6175248287805832,30
ank130,pretrained,rgb,klt,ank_18_16,3.6722670151731953,54
ank130,pretrained,rgb,klt,ank_18_27,3.32172871640942,46
ank130,pretrained,rgb,klt,ank_18_29,1.7922589178938884,56
ank130,pretrained,rgb,klt,ank_18_37,1.2473183174882645,26
ank130,pretrained,rgb,klt,ank_18_39,1.573355861106018,52
ank130,pretrained,rgb,klt,ank_18_7,3.2195614402300556,61
ank130,pretrained,rgb,klt,ank_19_15,3.0953496731321097,53
