side,arm,stem,med_resid,n_points
seeded,genCP_HR_RGB_model,ank_0_30,4.852857392389183,16
seeded,genCP_HR_RGB_model,ank_13_34,3.1132382853262293,21
seeded,genCP_HR_RGB_model,ank_13_6,2.9579336458362278,69
seeded,genCP_HR_RGB_model,ank_17_22,3.3877837662240604,42
seeded,genCP_HR_RGB_model,ank_18_7,3.1400245759318217,64
seeded,genCP_HR_RGB_model,ank_20_6,2.672259136558558,57
seeded,genCP_HR_RGB_model,ank_22_16,2.0977976830942238,38
seeded,genCP_HR_RGB_model,ank_22_37,2.758215287093172,39
seeded,genCP_HR_RGB_model,ank_24_3,3.061256687838505,51
seeded,genCP_HR_RGB_model,ank_25_16,3.1207177056870394,46
seeded,genCP_HR_RGB_model,ank_26_3,3.6022718245216776,60
seeded,genCP_HR_RGB_model,ank_26_5,2.6331931305740945,57
seeded,genCP_HR_RGB_model,ank_27_14,2.883961166734424,49
seeded,genCP_HR_RGB_model,ank_29_21,2.126934046167584,49
seeded,genCP_HR_RGB_model,ank_2_12,2.6529985224849635,61
seeded,genCP_HR_RGB_model,ank_33_3,2.0122761375326523,89
seeded,genCP_HR_RGB_model,ank_33_34,1.0790754956524875,160
seeded,genCP_HR_RGB_model,ank_34_11,2.2269973521278335,63
seeded,genCP_HR_RGB_model,ank_35_11,1.8485702724897126,88
seeded,genCP_HR_RGB_model,ank_38_22,1.0098227960069368,69
seeded,genCP_HR_RGB_model,ank_3_13,2.7434119565127255,36
seeded,genCP_HR_RGB_model,ank_4_41,3.258429125928026,35
seeded,genCP_HR_RGB_model,ank_5_12,2.6451180702261627,47
seeded,genCP_HR_RGB_model,ank_5_5,1.6838066731610217,93
seeded,genCP_HR_RGB_model,ank_6_10,3.450703316293847,80
seeded,genCP_HR_RGB_model,ank_7_36,3.3991016135090293,10
seeded,genCP_HR_RGB_model,ank_7_8,3.1405889111455183,56
seeded,genCP_HR_RGB_model,ank_8_31,2.4382662937162567,37
seeded,genCP_HR_RGB_model,ank_9_1,2.9408208677280796,46
seeded,genCP_HR_RGB_model,ank_9_25,3.9722412911911693,31
seeded,C1,ank_0_30,3.8845379552029633,46
seeded,C1,ank_13_34,4.115992038754518,24
seeded,C1,ank_13_6,2.890151981591886,58
seeded,C1,ank_17_22,2.6348524301034963,56
seeded,C1,ank_18_7,1.3648258707163357,78
seeded,C1,ank_20_6,3.1155518285821246,52
seeded,C1,ank_22_16,3.3873727153216793,38
seeded,C1,ank_22_37,0.9895936693478874,46
seeded,C1,ank_24_3,2.9790160164405313,47
seeded,C1,ank_25_16,2.3495239917562407,76
seeded,C1,ank_26_3,2.8354903167224585,58
seeded,C1,ank_26_5,3.072260796200271,54
seeded,C1,ank_27_14,3.7732852397435805,59
seeded,C1,ank_29_21,2.390226123554418,62
seeded,C1,ank_2_12,3.0097279634972063,61
seeded,C1,ank_33_3,1.6055775844826907,97
seeded,C1,ank_33_34,0.5231556073037161,308
seeded,C1,ank_34_11,1.4781463626939157,62
seeded,C1,ank_35_11,2.696261881183126,75
seeded,C1,ank_38_22,0.5999489877946412,157
seeded,C1,ank_3_13,2.483880300616155,51
seeded,C1,ank_4_41,1.4256736877197302,40
seeded,C1,ank_5_12,3.4273489824506664,64
seeded,C1,ank_5_5,2.2250065615171932,66
seeded,C1,ank_6_10,3.143394796863925,68
seeded,C1,ank_7_36,4.447755557105711,12
seeded,C1,ank_7_8,2.926076469759572,61
seeded,C1,ank_8_31,1.9905224415695928,46
seeded,C1,ank_9_1,3.4849930636638073,49
seeded,C1,ank_9_25,1.5276128145019012,71
seeded,C2,ank_0_30,2.5517616081742593,30
seeded,C2,ank_13_34,3.7655673917065577,40
seeded,C2,ank_13_6,2.9307969346416067,72
seeded,C2,ank_17_22,2.502505563118131,58
seeded,C2,ank_18_7,1.1430555732680454,117
seeded,C2,ank_20_6,2.089468954730508,78
