sitevar,arm,stem,stratum,n_mean32,med_mean32,n_single,med_single,delta
ank_overpass,pretrained,ank_0_10,3,46,3.2897753539138517,60,3.4202333198522137,-0.130457965938362
ank_overpass,pretrained,ank_0_16,5,66,2.1029112672337575,70,2.384862391438782,-0.28195112420502433
ank_overpass,pretrained,ank_0_30,1,29,3.8443476931934764,28,3.3387973218253046,0.5055503713681717
ank_overpass,pretrained,ank_0_41,2,34,2.204304659041489,26,2.5939270093610203,-0.3896223503195313
ank_overpass,pretrained,ank_10_1,4,60,1.6065648252999458,82,1.3793783388990695,0.22718648640087635
ank_overpass,pretrained,ank_11_14,4,53,2.523987301697582,39,2.1072049859277864,0.41678231576979563
ank_overpass,pretrained,ank_12_21,1,56,3.3380465595160027,52,3.840477071953303,-0.5024305124373001
ank_overpass,pretrained,ank_12_28,1,36,3.535554784548167,24,3.7515714024219395,-0.21601661787377235
ank_overpass,pretrained,ank_12_35,4,58,2.3053765314894368,59,2.0236169132480937,0.2817596182413431
ank_overpass,pretrained,ank_13_12,4,87,1.7231012334969584,81,1.9687657879551477,-0.24566455445818924
ank_overpass,pretrained,ank_13_17,1,45,2.7595196736526884,43,2.9336896856680665,-0.17417001201537818
ank_overpass,pretrained,ank_13_21,1,55,2.3550273484533317,48,2.4552028634420084,-0.10017551498867672
ank_overpass,pretrained,ank_13_29,2,37,2.8194940821701326,41,3.7566123078373588,-0.9371182256672261
ank_overpass,pretrained,ank_13_34,1,29,3.3036068401107688,26,2.9330486999203997,0.37055814019036903
ank_overpass,pretrained,ank_13_6,4,67,1.7835775703770917,67,1.6551381930016695,0.12843937737542221
ank_overpass,pretrained,ank_14_33,2,34,3.134931170051353,23,2.6852041495163994,0.4497270205349535
ank_overpass,pretrained,ank_14_9,4,58,1.9567470405618697,48,2.6853700722182094,-0.7286230316563398
ank_overpass,pretrained,ank_15_22,2,42,3.27920825994526,45,2.711390639736519,0.567817620208741
ank_overpass,pretrained,ank_15_41,1,30,3.199457229395624,31,3.4543109343097678,-0.2548537049141437
ank_overpass,pretrained,ank_15_6,4,64,2.2331993709178724,74,2.2565164080808167,-0.02331703716294431
ank_overpass,pretrained,ank_16_36,1,8,3.8948888490246905,10,2.8374037080167502,1.0574851410079402
ank_overpass,pretrained,ank_16_9,4,47,2.791328067175917,56,2.806683662740791,-0.015355595564874314
ank_overpass,pretrained,ank_17_17,1,49,2.6493648373788687,50,2.8414733322891434,-0.1921084949102747
ank_overpass,pretrained,ank_17_19,3,52,3.301216277496967,47,3.8275000827557153,-0.5262838052587484
ank_overpass,pretrained,ank_17_22,3,52,2.280880388035574,53,2.4340296949742752,-0.1531493069387011
ank_overpass,pretrained,ank_17_31,3,56,2.208384681105041,59,2.534098500596339,-0.32571381949129785
ank_overpass,pretrained,ank_17_32,1,26,3.571684402758046,30,3.6175248287805832,-0.04584042602253735
ank_overpass,pretrained,ank_18_16,3,60,3.6592988736224434,54,3.6722670151731953,-0.012968141550751877
ank_overpass,pretrained,ank_18_27,2,48,2.8118909815255178,46,3.32172871640942,-0.5098377348839023
ank_overpass,pretrained,ank_18_29,3,51,2.147625620663784,56,1.7922589178938884,0.3553667027698957
ank_overpass,pretrained,ank_18_37,4,24,2.0331355811578438,26,1.2473183174882643,0.7858172636695795
ank_overpass,pretrained,ank_18_39,3,55,1.402900740326389,52,1.5733558611060179,-0.170455120779629
ank_overpass,pretrained,ank_18_7,4,63,2.628308760727463,61,3.2195614402300556,-0.5912526795025927
ank_overpass,pretrained,ank_19_15,4,44,2.9274165662087075,53,3.0953496731321097,-0.16793310692340224
ank_overpass,pretrained,ank_19_33,1,15,5.593026826434502,22,4.702300725510231,0.8907261009242715
ank_overpass,pretrained,ank_19_6,2,52,3.5522835553357535,40,3.5026591039577597,0.04962445137799376
ank_overpass,pretrained,ank_19_9,2,32,2.843780939796526,34,2.926465695711448,-0.08268475591492175
ank_overpass,pretrained,ank_1_34,3,22,2.687965342235433,21,3.0208953480253165,-0.3329300057898834
ank_overpass,pretrained,ank_20_10,3,51,2.6181295078737055,46,2.3592761860519142,0.2588533218217912
ank_overpass,pretrained,ank_20_19,1,35,4.363809459988692,49,3.023494661464951,1.3403147985237411
ank_overpass,pretrained,ank_20_37,5,84,0.813223346897952,89,0.928379103905357,-0.1151557570074051
ank_overpass,pretrained,ank_20_6,3,57,2.3340099880446514,50,2.9146588970063463,-0.5806489089616949
ank_overpass,pretrained,ank_22_10,5,78,2.0929709044188374,72,2.0713169563672045,0.0216539480516329
ank_overpass,pretrained,ank_22_16,2,40,3.719015588733609,46,2.626797762402023,1.092217826331586
ank_overpass,pretrained,ank_22_37,4,33,2.0698134649660234,46,1.9738203744855904,0.09599309048043292
ank_overpass,pretrained,ank_23_14,3,59,2.221791448166443,62,2.0520719390391853,0.16971950912725786
