i,j,x,y,dens,boundary,building,forest,water,water_edge,score,rank
0,1,487340.0,4428680.0,0.9755,0.46642,0.18683,0.01641,0.00053,0.00027,1.53319,1
0,2,487340.0,4426750.0,0.94933,0.43897,0.14678,0.02902,0.00715,0.00458,1.44653,2
1,2,489270.0,4426750.0,0.92811,0.40658,0.09664,0.05276,0.00936,0.00692,1.38038,3
1,1,489270.0,4428680.0,0.92439,0.40628,0.08541,0.05976,0.01482,0.00757,1.35548,4
0,3,487340.0,4424820.0,0.9073,0.38072,0.09351,0.05228,0.00967,0.00548,1.33012,5
1,3,489270.0,4424820.0,0.83991,0.31707,0.06837,0.01509,0.00501,0.00219,1.23786,6
2,3,491200.0,4424820.0,0.82686,0.27512,0.02583,0.0218,0.0,0.0,1.21739,7
0,0,487340.0,4430610.0,0.81876,0.35758,0.08848,0.09687,0.0,0.0,1.19372,8
3,2,493130.0,4426750.0,0.78754,0.27542,0.02101,0.07859,0.0,0.0,1.123,9
2,2,491200.0,4426750.0,0.78374,0.29522,0.02319,0.1038,0.00342,0.00237,1.09477,10
3,3,493130.0,4424820.0,0.73382,0.27889,0.03525,0.05862,3e-05,5e-05,1.06641,11
1,0,489270.0,4430610.0,0.69589,0.27179,0.04916,0.30518,0.00401,0.00213,0.87847,12
2,1,491200.0,4428680.0,0.62323,0.22694,0.01343,0.10233,0.01732,0.01038,0.81158,13
2,0,491200.0,4430610.0,0.52523,0.18551,0.03491,0.21981,0.002,0.00103,0.6497,14
3,1,493130.0,4428680.0,0.40862,0.11735,0.01535,0.14035,0.04254,0.00491,0.43677,15
3,0,493130.0,4430610.0,0.34249,0.08713,0.019,0.27669,0.09184,0.00937,0.29281,16
