stem,stratum,forest_frac,forest_heavy,n_pre_pbf,med_pre_pbf,n_C1_pbf,med_C1_pbf,n_C2_pbf,med_C2_pbf,n_C3_pbf,med_C3_pbf,n_pre_ovp,med_pre_ovp,n_C1_ovp,med_C1_ovp,n_C2_ovp,med_C2_ovp,n_C3_ovp,med_C3_ovp
ank_24_3,1,0.9542083740234376,1,45,2.722481137495893,63,2.677963501663347,27,3.4477508919325044,30,3.518555640362634,59,2.745584695079576,42,2.968623644398199,34,3.3783332948333307,38,3.7796204242301137
ank_27_14,1,0.896942138671875,1,54,3.144941697040519,53,4.0536170832877945,40,3.9859613815325323,32,3.1580726513282684,50,3.453693744313977,56,3.0152229652304365,41,3.4189922723605517,55,3.241131052667461
ank_0_30,1,0.01141357421875,0,26,4.068872408499637,27,3.972141720492171,22,2.2896273332025476,20,2.1306043535524224,26,3.9747135834994682,32,3.2758856467288693,27,3.669946522476388,24,3.372967662690888
ank_13_34,1,0.008026123046875,0,25,2.944454561094764,19,4.222121316733911,26,1.7900621581127205,27,2.51372460414956,28,3.459164621623881,38,3.8420890312932894,28,2.2843931160614144,27,3.371821715267882
ank_9_25,1,1.52587890625e-05,0,50,3.7852189512459486,64,1.3615556183631243,81,0.5807682914056452,78,0.5802153888738454,45,3.529878721795689,61,0.841990970698861,72,0.45598951330586845,74,0.5647020677703674
ank_7_36,1,0.0002288818359375,0,19,3.347323391077195,16,3.847481689411037,20,4.806809196349542,17,3.9499959711277732,14,3.1977635715390047,15,2.79007414260299,9,3.9087287277324902,18,2.583216653344241
ank_25_16,2,0.7015228271484375,1,48,3.6191611627812046,51,2.558143274533223,86,1.8906874759801926,59,2.2300671601438955,51,3.461054535938743,74,2.360684889199737,77,1.569225723895466,53,1.5365049097160939
ank_7_8,2,0.699859619140625,1,54,3.069807725099655,51,3.572614827303433,81,2.4804042312994796,68,2.906206367803967,96,2.114076303714139,84,2.4068563289221228,111,0.8769400543472734,83,0.7750609441445476
ank_22_16,2,0.0289154052734375,0,35,3.7268251602250864,34,3.618202628908907,39,2.4597129990410913,37,1.6781516815194113,39,2.4761268579442572,38,4.050384434916024,43,2.0039591809312784,46,2.638655645255346
ank_3_13,2,0.023834228515625,0,52,3.697941070622874,53,2.318528560166359,79,0.7574846306385342,68,1.2460282731336858,41,2.9572929310019376,67,2.642887927054496,78,0.9208786833232401,65,0.6803951907346274
ank_8_31,2,0.0,0,27,2.0264813729975266,37,1.6406441179949052,45,1.6844488081706521,52,1.9712872928848846,26,2.368826021058875,39,1.4664736780415846,47,1.6662474879103555,51,1.4184383131153218
ank_4_41,2,0.0021209716796875,0,31,3.5745573722508612,53,2.505920996753341,56,0.6304195307222172,51,0.7092126664322326,26,3.0691230240015375,32,3.061712909150514,54,0.876220348356149,53,0.8713106263957747
ank_6_10,3,0.8671112060546875,1,71,2.608711141658827,54,3.136823856295142,48,2.8289522617287677,54,3.654017268162854,90,2.387681100478018,76,3.024411913870212,109,1.4795094202966361,100,1.5380694386177385
ank_2_12,3,0.8060150146484375,1,66,2.678410048981654,68,3.02604338714646,64,3.6416126172238457,74,2.9301078481672334,87,2.4535054671796126,74,2.523157010795953,97,1.141136548299545,70,1.0861802095251119
ank_9_1,3,0.1962432861328125,0,39,2.7264150215987457,53,2.897390020928576,59,3.406832388447932,43,2.685820892024165,51,2.3683227398382782,70,2.577844452248579,78,1.2764138396664322,58,1.2808510860466202
ank_17_22,3,0.048431396484375,0,54,3.340411721416598,50,2.8259355148969125,51,2.7729268113072476,57,3.0074615558024034,49,3.2476436001782227,57,3.8408027361766184,44,1.6935299625470224,57,2.7661192095163516
ank_29_21,3,0.04345703125,0,49,2.615532096065812,42,2.6266578159514924,41,1.6776170584275822,36,1.7230546255298458,36,3.642096932667979,34,2.93282775798551,54,1.42941316205098,46,1.6599862975978588
ank_20_6,3,0.063690185546875,0,62,2.8042192400950805,40,3.1829550140984466,84,2.2442354918244556,54,1.6432933583604519,55,2.706252541287374,52,3.8900859875101874,82,2.21700997423238,72,2.425185975491373
ank_5_5,4,0.788970947265625,1,69,1.7028502397266174,75,1.8419797239344051,99,0.3787453546098817,103,0.4644525510419751,82,1.4729881526466153,71,2.0612168669198736,128,0.40836675097357655,122,0.4242491102749713
ank_26_3,4,0.6199798583984375,1,55,3.389967059018869,51,2.8392951340092893,43,3.1693967913127,45,4.0512412416984,96,1.4319116404363736,76,1.3052513008084659,122,1.0402437988935866,109,0.9579973109290548
ank_22_37,4,0.0205841064453125,0,36,2.625749673570614,50,1.5983969285243802,66,0.6843521886756452,56,0.7701063804421031,41,1.9760208288787091,50,1.4394256085381003,76,0.8671887981778139,63,0.8192417276651864
ank_13_6,4,0.2743377685546875,0,78,2.8565476153240983,82,2.9546533376577337,55,2.576842789668927,59,2.75439791290547,73,1.361970791109413,105,1.256680731950284,144,0.5745761713408984,156,0.45128079111697994
ank_18_7,4,0.064605712890625,0,59,2.454573327410245,92,1.4234479728918208,85,0.8391800981053174,111,0.7680613647100386,60,2.7027151705166492,84,1.5149768363071372,91,0.8447960476939037,98,0.8861358894508398
ank_5_12,4,0.4120025634765625,0,52,3.0296556084233717,60,2.7680335397982803,98,0.6465476126663732,73,0.6298132614150405,114,1.290788209854655,142,0.991733991688481,197,0.3504155015428381,226,0.427552968669734
ank_35_11,5,0.6494293212890625,1,61,2.187480612911835,66,2.294310983947975,104,2.0488046065317387,67,2.418468525263525,89,1.2000496339280513,100,1.3204143030026165,189,0.5479499904895148,171,0.6267345423821403
ank_34_11,5,0.478729248046875,1,85,2.427940979797199,76,1.5852601714108445,67,1.5479662018913571,57,1.2363637261275584,91,2.0703546188227997,108,1.3473423957162067,202,0.5972400049020753,181,0.4871366199075512
ank_26_5,5,0.3206024169921875,0,60,3.0557396780718404,59,2.033536834946751,84,2.1119031905604855,67,1.422262233773874,86,2.107387379368329,109,1.0992989866912963,136,0.5721784158740093,117,0.5991352607500767
ank_38_22,5,0.033599853515625,0,81,1.102680503606768,145,0.5394729263610315,209,0.48963463201892826,190,0.5153338997252299,71,1.142574774832098,144,0.5284498835454134,220,0.4868892376543541,202,0.5526947371037814
ank_33_34,5,0.1592864990234375,0,159,1.0460497013717285,328,0.5082881728877372,470,0.46263879653489237,377,0.48455236409928454,143,0.95762367092447,332,0.5341978529251242,480,0.4624738551138041,395,0.48945932417663524
ank_33_3,5,0.436859130859375,0,80,1.9016190442449572,103,1.633540210262086,139,0.6964930632147742,129,0.7171357517482684,96,1.357239417960216,117,1.2523646516426172,199,0.52044715039627,219,0.6175224286116702
